rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
7,atl,20,144,800311,Didier Fuentes,17,1.34,70.0,72,50,49,22,83,10,210,307,,6.30,0,0,0,1,10,ALL (4)
7,was,20,120,806046,Alex Clemmey,25,1.38,116.2,88,52,45,73,136,12,350,508,,3.47,0,0,0,7,5,ALL (2)
7,mil,21,158,811309,Bishop Letson,11,1.04,41.1,31,14,11,12,49,2,124,159,,2.40,0,0,0,2,2,ALL (2)
7,sf,25,137,687931,Carson Whisenhunt,26,1.38,131.0,134,69,66,47,111,19,393,556,,4.53,0,0,0,11,6,ALL (2)
8,stl,24,138,694358,Tekoah Roby,16,1.10,78.1,67,31,27,19,87,8,235,316,,3.10,0,0,0,7,4,ALL (2)
8,oak,23,133,692013,Henry Baez,23,1.05,109.0,79,35,29,35,100,3,327,436,,2.39,0,0,0,5,3,ALL (2)
8,kc,18,118,830402,Kendry Chourio,14,0.95,51.1,44,24,20,5,63,2,154,211,,3.51,0,0,0,2,3,ALL (3)
8,tex,20,140,807291,Caden Scarborough,22,0.88,88.0,56,26,24,21,114,7,264,343,,2.45,0,0,0,2,5,ALL (2)
8,bos,24,111,689818,David Sandlin,32,1.37,106.0,105,55,53,40,107,10,318,457,,4.50,0,2,2,9,6,ALL (2)
8,cws,21,145,803291,Christian Oppor,22,1.19,87.2,62,35,30,42,116,6,263,366,,3.08,0,0,0,4,8,ALL (2)
8,bal,20,110,815348,Boston Bateman,20,1.45,87.0,88,43,40,38,94,2,261,380,,4.14,0,0,0,5,5,ALL (3)
8,phi,22,143,691330,Moisés Chace,6,1.62,16.2,15,6,6,12,19,3,50,75,,3.24,0,0,0,0,0,AA
8,mia,17,146,829074,Kevin Defrank,10,1.29,31.0,30,15,11,10,34,1,93,141,,3.19,0,0,0,0,1,ROK
8,cle,20,114,815785,Braylon Doughty,22,1.25,85.1,84,39,33,23,99,4,256,362,,3.48,0,0,0,0,7,A
8,tor,24,141,814005,Jake Bloss,6,1.94,23.2,33,25,17,13,24,3,71,115,,6.46,0,0,0,0,5,AAA
8,atl,22,144,702566,Owen Murphy,7,0.69,30.1,15,6,4,6,34,1,91,110,,1.19,0,0,0,3,0,ALL (2)
9,oak,25,133,686930,Mason Barnett,30,1.61,141.1,151,99,98,76,142,20,424,648,,6.24,0,0,0,7,3,ALL (2)
9,nyy,21,147,700649,Henry Lalane,7,1.29,19.1,11,5,5,14,22,2,58,84,,2.33,0,0,0,0,0,ALL (2)
9,chc,25,112,669361,Brandon Birdsell,8,1.22,33.2,28,16,11,13,33,5,101,143,,2.94,0,0,0,2,2,ALL (3)
9,bal,23,110,694346,Trey Gibson,26,1.21,120.1,102,67,57,44,166,13,361,514,,4.26,0,0,0,5,8,ALL (3)
9,sf,19,137,821783,Argenis Cayama,18,1.36,62.1,57,28,25,28,62,2,187,271,,3.61,0,0,0,2,1,ALL (2)
9,min,24,142,687570,Connor Prielipp,24,1.51,82.2,94,48,37,31,98,7,248,363,,4.03,0,0,0,1,9,ALL (2)
9,ari,22,109,683352,Mitch Bratt,24,1.17,122.1,122,49,46,21,148,18,367,505,,3.38,0,0,0,7,4,ALL (2)
9,col,22,115,702622,Griffin Herring,23,1.00,119.1,70,29,25,49,149,4,358,474,,1.89,0,0,0,8,4,ALL (3)
9,stl,19,138,823369,Yhoiker Fajardo,19,1.10,72.0,52,24,18,27,83,0,216,288,,2.25,0,0,0,1,4,ALL (2)
9,ana,19,108,807281,Trey Gregory-Alford,18,1.30,78.2,69,29,25,33,68,2,236,329,,2.86,0,0,1,5,4,ALL (2)
9,tex,18,140,831384,Josh Owens,2,1.00,4.0,1,1,0,3,6,0,12,15,,0.00,0,0,0,0,0,A
9,hou,23,117,809343,Bryce Mayer,21,1.17,87.2,76,47,40,27,112,8,263,371,,4.11,0,1,0,4,6,ALL (3)
9,mia,20,146,800611,Noble Meyer,19,1.39,65.1,53,36,32,38,72,4,196,296,,4.41,0,0,0,1,7,A+
10,kc,22,118,701795,Drew Beam,26,1.19,131.2,127,72,56,30,110,8,395,536,,3.83,0,0,0,7,10,A+
10,nyy,23,147,691795,Brock Selvidge,19,1.43,82.2,74,52,43,44,68,6,248,360,,4.68,0,0,0,2,7,ALL (3)
10,sd,23,135,695247,Jagger Haynes,26,1.41,103.0,83,55,47,62,101,12,309,443,,4.11,0,0,0,3,4,AA
10,atl,23,144,802357,Drue Hackenberg,21,1.82,74.0,81,65,56,54,67,9,222,358,,6.81,0,0,0,2,9,ALL (2)
10,ana,23,108,700933,Chris Cortez,26,1.57,113.2,94,64,54,84,114,5,341,513,,4.28,0,0,0,3,8,A+
10,sf,21,137,815212,Keyner Martinez,21,1.21,69.1,63,22,17,21,97,3,208,284,,2.21,2,0,0,5,2,ALL (2)
10,pit,24,134,802419,Thomas Harrington,24,1.44,104.2,111,74,72,40,97,23,314,465,,6.19,1,0,0,7,10,ALL (2)
10,bal,23,110,695033,Juaron Watts-Brown,26,1.13,124.1,90,58,50,50,158,16,373,515,,3.62,0,0,0,3,8,ALL (3)
10,det,23,116,811290,Jaden Hamm,22,1.35,88.0,82,47,46,37,80,11,264,384,,4.70,0,0,0,2,5,ALL (2)
10,hou,23,117,814490,Ethan Pecko,20,1.25,80.0,73,37,34,27,95,6,240,331,,3.83,0,1,0,3,10,ALL (3)
11,phi,24,143,691893,Jean Cabrera,26,1.23,137.0,107,62,58,61,127,11,411,573,,3.81,0,0,0,6,9,AA
11,cle,25,114,800048,Parker Messick,27,1.24,138.1,124,51,50,48,157,13,415,574,,3.25,0,0,0,8,7,ALL (2)
11,atl,25,144,686628,Blake Burkhalter,32,1.32,103.0,91,41,38,45,88,4,309,437,,3.32,1,2,1,4,7,ALL (2)
11,bal,23,110,815148,Nestor German,26,1.18,123.2,100,62,54,46,143,13,371,510,,3.93,0,0,0,6,7,ALL (3)
11,nym,23,121,814492,Will Watson,28,1.20,121.1,88,39,35,58,142,8,364,499,,2.60,1,0,0,3,9,ALL (3)
11,ari,23,109,691441,Cristian Mena,12,1.32,51.1,49,31,25,19,60,7,154,218,,4.38,0,0,1,3,3,ALL (2)
11,hou,22,117,695001,Alimber Santa,46,1.21,70.0,46,21,18,39,82,2,210,294,,2.31,2,6,2,3,2,ALL (2)
11,sf,20,137,815298,Jacob Bresnahan,22,1.18,93.0,67,32,27,43,124,2,279,381,,2.61,0,0,0,9,3,A
11,kc,25,118,686632,Steven Zobac,14,1.79,44.2,64,38,36,16,45,10,134,211,,7.25,0,0,0,0,4,ALL (2)
11,nyy,27,147,694341,Brendan Beck,26,1.06,131.1,103,51,49,36,123,14,394,522,,3.36,0,0,0,13,5,ALL (2)
12,oak,20,133,806064,Steven Echavarria,26,1.42,104.0,106,57,53,42,88,8,312,451,,4.59,0,0,0,3,7,A+
12,col,23,115,807743,Sean Sullivan,20,1.06,104.0,85,35,34,25,104,7,312,418,,2.94,0,0,0,9,6,ALL (3)
12,hou,23,117,694545,Jackson Nezuh,20,1.29,76.2,71,40,37,28,76,10,230,325,,4.34,0,0,1,3,9,ALL (2)
12,bos,19,111,813536,Juan Valera,10,1.39,38.0,43,25,23,10,46,6,114,167,,5.45,0,0,0,1,2,A+
12,bal,25,110,688867,Braxton Bragg,12,1.00,59.0,42,20,11,17,77,3,177,235,,1.68,0,0,0,4,2,ALL (2)
12,atl,24,144,814351,Lucas Braun,27,1.06,149.2,119,67,61,39,145,19,449,597,,3.67,0,0,0,7,6,ALL (2)
13,la,21,119,703445,Adam Serwinowski,25,1.36,111.2,97,57,50,55,140,12,335,491,,4.03,0,0,0,5,7,ALL (3)
13,sf,24,137,694918,Blade Tidwell,25,1.33,112.0,102,56,54,47,121,12,336,484,,4.34,0,0,0,7,5,ALL (3)
13,sea,24,136,803141,Teddy McGraw,14,1.41,28.1,32,10,10,8,33,1,85,120,,3.18,0,0,0,0,3,ALL (2)
13,ana,24,108,691951,Sam Aldegheri,28,1.44,147.0,141,75,68,70,125,16,441,651,,4.16,0,0,1,8,10,ALL (3)
13,nym,23,121,811307,Jack Wenninger,26,1.15,135.2,114,53,44,42,147,13,407,556,,2.92,0,0,0,12,6,AA
13,ari,23,109,811666,Daniel Eagen,23,1.12,117.1,79,49,39,52,153,12,352,472,,2.99,0,0,0,7,8,ALL (2)
13,nyy,23,147,694805,Kyle Carr,25,1.13,133.0,95,48,39,55,117,8,399,538,,2.64,0,0,0,8,7,ALL (2)
13,det,20,116,815157,Owen Hall,4,1.78,9.0,7,8,7,9,9,1,27,39,,7.00,0,0,0,0,0,A
13,col,25,115,687223,Carson Palmquist,35,1.55,112.0,107,78,74,67,121,17,336,513,,5.95,0,0,0,4,9,ALL (2)
13,kc,22,118,702373,Felix Arronde,26,1.08,128.2,97,45,40,42,101,9,386,517,,2.80,0,0,0,5,7,A+
13,mia,24,146,690978,Dax Fulton,23,1.62,103.2,109,71,62,59,115,5,311,483,,5.38,0,0,0,5,11,ALL (2)
13,pit,19,134,815552,Levi Sterling,12,1.76,34.0,37,23,23,23,34,2,102,162,,6.09,0,0,0,3,2,ALL (2)
13,oak,26,133,680684,Gunnar Hoglund,12,1.29,62.0,62,32,31,18,53,13,186,254,,4.50,0,0,0,2,5,ALL (2)
14,col,24,115,687312,Gabriel Hughes,24,1.26,105.1,95,53,49,38,88,13,316,442,,4.19,0,0,0,5,6,ALL (3)
14,hou,25,117,805123,AJ Blubaugh,33,1.40,131.0,114,75,64,69,136,16,393,576,,4.40,2,0,1,8,9,ALL (2)
14,cws,22,145,695721,Gage Ziehl,22,1.26,107.0,116,61,49,19,90,7,321,455,,4.12,0,0,0,7,6,ALL (4)
14,sf,24,137,802126,Joe Whitman,26,1.50,117.1,129,72,69,47,124,10,352,513,,5.29,0,0,0,5,11,AA
14,pit,20,134,805800,Zander Mueth,12,2.08,26.0,25,25,19,29,34,1,78,135,,6.58,0,0,0,0,4,ALL (2)
14,tex,24,140,693713,Emiliano Teodo,27,1.87,30.0,27,26,24,29,38,4,90,149,,7.20,0,3,1,3,2,ALL (3)
14,min,22,142,801594,Ryan Gallagher,24,1.21,121.2,117,64,55,30,133,17,365,509,,4.07,0,0,0,8,7,ALL (3)
14,stl,23,138,693311,Tink Hence,8,1.22,21.1,13,7,7,13,24,1,64,86,,2.95,0,0,0,0,1,ALL (4)
14,oak,23,133,695034,Kade Morris,28,1.35,150.0,154,81,73,48,128,16,450,643,,4.38,0,0,0,9,10,ALL (2)
14,ana,21,108,806010,Barrett Kent,10,1.50,35.1,32,13,8,21,31,1,106,153,,2.04,0,0,0,1,0,ALL (2)
