rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
6,cin,21,,Cam Collier,702253,333,48,93,21,1,4,.391,.775,.384,48,59,104,1,1,136,128,.279,3B,ALL (3)
6,phi,21,,Dante Nori,807276,487,72,127,18,12,4,.361,.733,.372,47,75,85,52,10,218,181,.261,OF,ALL (3)
6,min,21,,Marek Houston,701339,100,14,27,5,0,1,.330,.680,.350,11,8,21,7,2,38,35,.270,SS,ALL (2)
6,hou,17,,Kevin Alvarez,829037,156,31,47,12,3,2,.419,.874,.455,33,23,19,11,5,76,71,.301,OF,ROK
6,mil,21,,Andrew Fischer,702652,74,8,23,5,1,1,.402,.848,.446,10,11,22,8,2,24,33,.311,3B,A+
6,pit,23,,Jhostynxon Garcia,691373,441,79,117,18,4,21,.340,.807,.467,75,47,136,7,1,216,206,.265,CF,ALL (3)
6,det,22,,Hao-Yu  Lee,701678,497,81,121,23,8,14,.342,.748,.406,61,65,121,22,5,230,202,.243,2B,AAA
6,nym,21,,Jacob Reimer,702544,444,88,125,32,5,17,.379,.870,.491,77,58,112,15,3,233,218,.282,3B,ALL (2)
6,stl,24,,Jimmy Crooks,699625,435,64,113,21,2,15,.319,.740,.421,80,36,131,0,0,189,183,.260,C,ALL (2)
6,sf,22,,Dakota Jordan,702607,370,71,115,15,6,14,.377,.874,.497,82,37,95,27,4,186,184,.311,OF,A
6,sea,21,,Jonny Farmelo,806071,113,18,26,6,1,6,.318,.778,.460,16,14,38,2,1,55,52,.230,OF,A+
6,oak,21,,Devin Taylor,805127,106,25,28,5,0,6,.388,.869,.481,18,21,37,2,1,51,51,.264,OF,A
6,was,20,,Luke Dickerson,815380,307,39,64,14,2,6,.315,.641,.326,41,45,88,22,6,160,100,.208,SS,ALL (2)
7,nyy,19,,Dax Kilby,828076,68,19,24,2,2,0,.457,.898,.441,9,13,11,16,1,33,30,.353,SS,A
7,oak,22,,Tommy White,695720,360,49,99,23,0,12,.334,.773,.439,51,29,54,3,1,184,158,.275,3B,ALL (2)
7,nym,21,,A.J. Ewing,805999,485,87,153,26,10,3,.401,.830,.429,55,68,105,70,11,175,208,.315,SS,ALL (3)
7,pit,21,,Termarr Johnson,702261,434,67,118,15,3,9,.363,.745,.382,35,59,93,20,12,161,166,.272,SS,AA
7,sd,18,,Jorge Quintana,815894,284,42,69,16,3,4,.339,.702,.363,28,39,84,26,8,142,103,.243,SS,ALL (2)
7,bal,19,,Nate George,825582,323,66,109,14,9,5,.413,.896,.483,42,38,62,50,25,133,156,.337,OF,ALL (3)
7,col,22,,Max Belyeu,803284,80,13,12,0,0,4,.244,.544,.300,9,9,32,3,0,31,24,.150,OF,A+
7,det,17,,Cris Rodriguez,829038,172,38,53,12,1,10,.340,.904,.564,39,11,42,10,2,74,97,.308,OF,ROK
7,hou,21,,Ethan Frey,703676,100,20,33,5,0,3,.434,.904,.470,17,20,25,9,5,40,47,.330,OF,A
7,la,19,,Emil Morales,815896,357,76,112,24,3,14,.396,.911,.515,70,48,109,11,3,152,184,.314,SS,ALL (2)
7,mia,22,,Cam Cannarella,703448,88,11,25,6,1,0,.337,.712,.375,6,7,18,1,3,23,33,.284,OF,A+
7,chc,23,,Jonathon Long,675085,514,86,157,23,3,20,.404,.883,.479,91,79,116,2,0,225,246,.305,1B,AAA
7,ana,20,,Nelson Rada,703185,489,81,143,19,4,2,.398,.758,.360,39,75,117,54,18,138,176,.292,CF,ALL (2)
7,tor,23,,Yohendrick Pinango,682818,454,57,117,29,2,15,.361,.791,.430,70,70,107,6,0,233,195,.258,LF,ALL (2)
7,ari,20,,JD Dix,807267,340,65,101,19,6,2,.404,.810,.406,34,58,85,28,8,128,138,.297,SS,ALL (2)
8,chc,21,,Pedro Ramirez,699393,500,70,140,21,4,8,.346,.732,.386,73,46,85,28,10,220,193,.280,2B,AA
8,nym,22,,Ryan Clifford,691775,481,71,114,23,1,29,.356,.826,.470,93,85,148,7,4,214,226,.237,1B,ALL (2)
8,sea,20,,Felnin Celesten,806958,421,58,115,19,3,6,.345,.720,.375,59,46,111,21,9,204,158,.273,SS,ALL (2)
8,col,22,,Jared Thomas,703606,454,92,136,23,2,14,.398,.850,.452,60,70,145,33,7,132,205,.300,OF,ALL (2)
8,min,22,,Gabriel Gonzalez,694224,483,75,159,38,3,15,.395,.908,.513,66,48,80,8,3,238,248,.329,RF,ALL (3)
8,pit,21,,Sammy Stafura,806230,432,60,103,22,10,6,.361,.738,.377,60,74,129,32,6,226,163,.238,SS,ALL (3)
8,sd,20,,Kale Fountain,806495,230,40,52,8,1,3,.346,.655,.309,34,35,65,21,1,127,71,.226,3B,ALL (2)
8,mil,21,,Luke Adams,702726,234,58,54,15,0,11,.417,.853,.436,42,52,64,10,3,116,102,.231,3B,ALL (2)
8,cin,22,,Edwin Arroyo,695490,464,63,132,23,4,3,.345,.716,.371,44,40,88,12,7,153,172,.284,SS,AA
8,sf,19,,Rayner Arias,806976,178,28,38,6,2,3,.304,.624,.320,20,17,55,5,2,87,57,.213,OF,ALL (2)
8,ana,21,,Denzer Guzman,694203,507,69,123,31,1,19,.333,.753,.420,77,63,159,14,3,245,213,.243,SS,ALL (3)
8,la,23,,James Tibbs III,696486,457,82,111,17,4,20,.373,.802,.429,71,90,120,10,3,194,196,.243,RF,ALL (3)
9,was,22,,Seaver King,814409,505,65,123,19,5,6,.294,.631,.337,43,32,116,30,4,216,170,.244,SS,ALL (2)
9,bos,17,,Dorian Soto,829039,166,27,51,10,2,2,.362,.790,.428,18,16,28,1,4,74,71,.307,SS,ALL (2)
9,cle,20,,Ralphy Velazquez,806252,483,77,128,28,9,22,.342,.839,.497,85,52,104,1,3,233,240,.265,1B,ALL (2)
9,nym,21,,Mitch Voit,702491,85,18,20,2,0,1,.343,.637,.294,8,13,24,20,1,39,25,.235,2B,A
9,phi,24,,Gabriel Rincones Jr.,687282,412,81,99,22,1,18,.370,.800,.430,73,80,114,21,5,230,177,.240,RF,AAA
9,cin,21,,Héctor Rodríguez,699302,527,92,149,23,4,19,.336,.786,.450,65,40,86,15,7,225,237,.283,LF,ALL (2)
9,pit,25,,Rafael Flores Jr.,804668,523,68,145,29,2,22,.352,.819,.467,88,58,155,6,0,253,244,.277,C,ALL (4)
9,sd,18,,Deivid Coronil,829060,140,23,26,2,1,0,.327,.541,.214,12,21,47,8,0,79,30,.186,SS,ROK
9,cws,22,,Kyle Lodise,827517,92,14,17,3,1,4,.319,.689,.370,10,15,21,7,1,47,34,.185,SS,A+
9,mil,19,,Braylon Payne,815520,288,55,69,9,4,8,.354,.736,.382,30,52,103,31,10,147,110,.240,OF,A
9,tor,22,,Victor Arias,692478,412,69,112,19,7,7,.353,.756,.403,47,50,102,18,5,162,166,.272,CF,ALL (2)
9,det,23,,Max Anderson,801194,504,78,149,31,2,19,.350,.828,.478,88,36,87,3,3,221,241,.296,2B,ALL (2)
9,tex,18,,Josh Owens,831384,24,3,2,1,0,0,.083,.208,.125,0,0,11,0,0,14,3,.083,A
9,tb,22,,Xavier Isaac,800060,139,21,28,5,1,9,.366,.812,.446,22,34,52,1,2,59,62,.201,1B,AA
9,kc,20,,Ramon Ramirez,808675,281,51,70,13,3,12,.335,.780,.445,61,36,68,7,2,141,125,.249,C,ALL (2)
