FBP_Team,manager,name,team,position,player_type,contract_type,status,years_simple,yahoo_id,upid
SAD,not much of a donkey,Zach Neto,LAA,SS,MLB,Keeper Contract,[5] TC1,TC 1,,3887
SAD,not much of a donkey,Ryan Clifford,NYM,1B,Farm,Farm Contract,[7] P,P,,3935
SAD,not much of a donkey,Sal Stewart,CIN,2B,Farm,Purchased Contract,[7] P,P,,3951
HAM,Hammers,Tanner Bibee,CLE,SP,MLB,Keeper Contract,[4] TC2,TC 2,,3995
SAD,not much of a donkey,Kyle Bradish,BAL,SP,MLB,Keeper Contract,[5] TC1,TC 1,,4045
SAD,not much of a donkey,Cole Ragans,KC,SP,MLB,Keeper Contract,[3] VC1,VC 1,,4085
SAD,not much of a donkey,Jeremiah Estrada,SD,RP,MLB,Keeper Contract,[5] TC1,TC 1,,4155
SAD,not much of a donkey,Bryan Woo,SEA,SP,MLB,Keeper Contract,[4] TC2,TC 2,,4286
SAD,not much of a donkey,Kerry Carpenter,DET,OF,MLB,Keeper Contract,[5] TC1,TC 1,,4333
SAD,not much of a donkey,Julio Rodríguez,SEA,CF,MLB,Keeper Contract,[3] VC1,VC 1,,4454
SAD,not much of a donkey,Junior Caminero,TB,3B,MLB,Keeper Contract,[6] TCR,TC R,,4463
SAD,not much of a donkey,Samuel Basallo,BAL,C,Farm,Purchased Contract,[7] P,P,,4593
SAD,not much of a donkey,Cade Smith,CLE,LHP,MLB,Keeper Contract,[5] TC1,TC 1,,6524
LAW,Law-Abiding Citizens,Hector Rodriguez,CIN,OF,Farm,Farm Contract,[7] P,P,,6532
SAD,not much of a donkey,Matt Shaw,CHC,3B,Farm,Purchased Contract,[7] P,P,,6592
SAD,not much of a donkey,Jefferson Rojas,CHC,SS,Farm,Farm Contract,[7] P,P,,6593
SAD,not much of a donkey,Grant Taylor,CWS,RHP,Farm,Purchased Contract,[7] P,P,,6752
SAD,not much of a donkey,George Klassen,LAA,RHP,Farm,Purchased Contract,[7] P,P,,6805
SAD,not much of a donkey,Jedixson Paez,BOS,RHP,Farm,Farm Contract,[7] P,P,,6851
SAD,not much of a donkey,Yophery Rodriguez,MIL,OF,Farm,Farm Contract,[7] P,P,,6973
SAD,not much of a donkey,Jaden Hamm,DET,RHP,Farm,Farm Contract,[7] P,P,,7098
HAM,Hammers,Braden Montgomery,CWS,OF,Farm,Purchased Contract,[7] P,P,,7657
RV,Rick Vaughn,Gerrit Cole,NYY,P,MLB,Keeper Contract,[5] TC1,TC 1,9121,1888
RV,Rick Vaughn,Ketel Marte,AZ,"2B,SS,CF",MLB,Keeper Contract,[3] VC1,VC 1,10036,1910
B2J,Btwn2Jackies,Shane Bieber,TOR,P,MLB,Keeper Contract,[5] TC1,TC 1,10867,1918
B2J,Btwn2Jackies,Bo Bichette,TOR,SS,MLB,Keeper Contract,[3] VC1,VC 1,10766,1928
RV,Rick Vaughn,Freddy Peralta,MIL,P,MLB,Keeper Contract,[3] VC1,VC 1,11014,1949
RV,Rick Vaughn,Kyle Tucker,CHC,OF,MLB,Keeper Contract,[3] VC1,VC 1,10480,1960
RV,Rick Vaughn,Anthony Santander,TOR,OF,MLB,Keeper Contract,[4] TC2,TC 2,,2109
RV,Rick Vaughn,Christian Walker,HOU,1B,MLB,Keeper Contract,[2] VC2,VC 2,,2274
RV,Rick Vaughn,Eugenio Suárez,AZ,3B,MLB,Keeper Contract,[5] TC1,TC 1,,2472
RV,Rick Vaughn,Luis Rengifo,LAA,"2B, 3B",MLB,Keeper Contract,[5] TC1,TC 1,,2906
RV,Rick Vaughn,Luke Weaver,NYY,RP,MLB,Keeper Contract,[5] TC1,TC 1,,2916
RV,Rick Vaughn,Ryan Weathers,MIA,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3183
RV,Rick Vaughn,Gunnar Henderson,BAL,SS,MLB,Keeper Contract,[4] TC2,TC 2,,3438
RV,Rick Vaughn,Colton Cowser,BAL,CF,MLB,Keeper Contract,[5] TC1,TC 1,,3472
RV,Rick Vaughn,Miguel Vargas,CWS,"3B, OF",MLB,Keeper Contract,[5] TC1,TC 1,,3501
RV,Rick Vaughn,Logan O'Hoppe,LAA,C,MLB,Keeper Contract,[5] TC1,TC 1,,3519
RV,Rick Vaughn,Spencer Schwellenbach,ATL,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3551
