UPID,Rank,Player,Team,Position,School,Level,eta,Age,Height / Weight,Bats,Throws,FV,composite score
8067,175,Sam Horn,,RHP,Missouri,-,-,22,"6' 4"" / 217 lbs",R,R,0,125
8052,176,Jared Spencer,,LHP,Texas,ROK,2028,22,"6' 3"" / 210 lbs",L,L,40,137.1428571
8068,177,Brandon Shannon,,RHP,McHenry (IL),-,-,19,"6' 4"" / 175 lbs",R,R,0,126.4285714
8053,178,Cam Leiter,LAD,RHP,Florida State,ROK,2028,21,"6' 5"" / 234 lbs",R,R,40,138.5714286
8054,179,Shane Sdao,,LHP,Texas A&M,-,-,22,"6' 2"" / 170 lbs",L,L,40,139.2857143
8071,180,Omar Serna Jr.,,C,Louisiana State,-,-,19,"6' 2"" / 225 lbs",R,R,0,128.5714286
8072,181,Cooper Underwood,,LHP,Allatoona (GA),-,-,19,"6' 2"" / 185 lbs",R,L,0,129.2857143
8056,182,Mason Morris,CIN,RHP,Mississippi,A,2028,22,"6' 4"" / 225 lbs",R,R,42.5,142.1428571
8073,183,John Paone,,RHP,Lawrence Academy (MA),-,-,19,"6' 3"" / 210 lbs",R,R,0,130.7142857
8075,184,Matt Barr,,RHP,SUNY NIagara CC,ROK,2029,19,"6' 6"" / 195 lbs",R,R,0,131.4285714
8060,185,Malachi Witherspoon,DET,RHP,Oklahoma,ROK,2028,21,"6' 3"" / 211 lbs",R,R,40,143.5714286
8062,186,Aidan West,LAD,SS,Long Reach (MD),ROK,2029,18,"6' 2"" / 205 lbs",L,R,37.5,143.5714286
8077,187,Cameron Millar,KCR,RHP,Alhambra (CA),ROK,2029,18,"6' 2"" / 200 lbs",R,R,,133.5714286
8063,188,Tanner Franklin,STL,RHP,Tennessee,A+,2028,21,"6' 5"" / 225 lbs",R,R,37.5,145
8078,189,Riley Kelly,,RHP,UC Irvine,ROK,2028,21,"6' 5"" / 215 lbs",R,R,0,135
8064,190,Landon Schaefer,,SS/3B,Fayetteville (AR),-,-,19,"6' 3"" / 190 lbs",R,R,37.5,146.4285714
8065,191,Nolan Schubart,CLE,OF,Oklahoma State,A,2028,21,"6' 5"" / 223 lbs",L,R,37.5,147.1428571
8081,192,Colby Shelton,,SS,Florida,A,-,23,"6' 0"" / 205 lbs",L,R,0,137.1428571
8069,193,Jayden Stroman,,RHP,Patchogue-Medford (NY),-,-,18,"6' 0"" / 197 lbs",S,R,37.5,148.5714286
7006,194,Trent Caraway,,3B,Louisiana State,-,-,21,"6' 2"" / 203 lbs",R,R,0,138.5714286
8085,195,Ryan Wideman,SDP,OF,Western Kentucky,A,2028,22,"6' 5"" / 204 lbs",R,R,,139.2857143
8070,196,Micah Bucknam,TOR,RHP,Dallas Baptist,ROK,2028,22,"6' 1"" / 212 lbs",R,R,40,151.4285714
8086,197,Gabe Davis,,RHP,Oklahoma State,ROK,-,22,"6' 9"" / 234 lbs",R,R,0,140.7142857
8087,198,Nate Snead,LAA,RHP,Tennessee,ROK,2028,21,"6' 2"" / 212 lbs",R,R,,141.4285714
8088,199,Caden Hunter,,LHP,Southern California,ROK,-,22,"6' 2"" / 205 lbs",R,L,0,142.1428571
8074,200,Mason Pike,,SS/RHP,Puyallup (WA),-,-,19,"6' 0"" / 193 lbs",S,R,37.5,153.5714286
8089,201,Ethin Bingaman,,RHP/OF,Corona (CA),-,-,19,"6' 1"" / 201 lbs",R,R,0,143.5714286
8090,202,Tanner Thach,,1B,UNC Wilmington,A,2028,21,"6' 4"" / 225 lbs",L,L,0,144.2857143
8076,203,Tre Phelps,,OF/1B,Georgia,-,-,21,"6' 2"" / 202 lbs",R,R,37.5,155.7142857
8093,204,Matt Scott,,RHP,Stanford,-,-,22,"6' 7"" / 245 lbs",R,R,0,145.7142857
8094,205,Joshua Jannicelli,,RHP,Cardinal Newman (CA),-,-,18,"6' 6"" / 185 lbs",R,R,0,146.4285714
8095,206,Reagan Ricken,,RHP,Louisiana State,-,-,19,"6' 5"" / 220 lbs",R,R,0,147.1428571
8079,207,Gustavo Melendez,PIT,SS,La Merced (PR),ROK,2029,18,"5' 8"" / 160 lbs",L,R,42.5,160
8096,208,Marcelo Harsch,,RHP,Seton Hall Prep (NJ),-,-,18,"6' 4"" / 175 lbs",R,R,0,148.5714286
8080,209,Murf Gray,PIT,3B,Fresno State,ROK,2028,22,"6' 4"" / 230 lbs",R,R,45,162.1428571
8082,210,Mason White,BOS,SS,Arizona,A+,-,22,"5' 11"" / 178 lbs",L,R,40,161.4285714
8099,211,Tim Piasentin,,3B,Foothills Composite (AB),ROK,2029,18,"6' 3"" / 200 lbs",L,R,0,150.7142857
8083,212,Jack Gurevitch,STL,1B,San Diego,A,2028,21,"6' 0"" / 215 lbs",L,R,42.5,163.5714286
8100,213,Aaron Walton,CLE,OF,Arizona,A,2028,21,"6' 3"" / 219 lbs",R,R,,152.1428571
8101,214,Paxton Kling,,OF,Penn State,A+,-,22,"6' 2"" / 210 lbs",R,R,0,152.8571429
8102,215,Will Hynes,CLE,RHP,Lorne Park (ON),ROK,2029,18,"6' 2"" / 180 lbs",R,R,,153.5714286
8103,216,Landon Hodge,,C,Crespi Carmelite (CA),ROK,2029,18,"6' 1"" / 175 lbs",L,R,0,154.2857143
8104,217,Brock Ketelsen,,OF/LHP,Stanford,-,-,18,"6' 4"" / 206 lbs",L,L,0,155
8105,218,Noah Yoder,,RHP,Atlee (VA),-,-,18,"6' 6"" / 230 lbs",R,R,0,155.7142857
8091,219,Angel Laya,,OF,Eastlake (CA),-,-,19,"6' 3"" / 190 lbs",L,R,37.5,167.1428571
8106,220,Myles Upchurch,,RHP,St. Albans (DC),-,-,19,"6' 3"" / 215 lbs",R,R,0,157.1428571
8092,221,Ty Harvey,SDP,C,Inspiration Academy (FL),A,2029,19,"6' 2"" / 215 lbs",R,R,37.5,168.5714286
8107,222,Xavier Mitchell,,LHP,Prestonwood Christian (TX),ROK,2029,19,"6' 3"" / 165 lbs",L,L,0,158.5714286
8108,223,Griffin Hugus,SEA,RHP,Miami,ROK,2028,21,"6' 2"" / 210 lbs",L,R,,159.2857143
8110,224,Anthony Martinez,,1B,UC Irvine,A,-,21,"6' 3"" / 230 lbs",L,R,0,160
6802,225,Antonio Jimenez,NYM,SS,Central Florida,A,2028,21,"6' 1"" / 200 lbs",R,R,,160.7142857
