upid,name,manager,player_type,contract_type,status,years_simple
3657,Shay Whitcomb,,MLB,,[5] TC1,TC 1
3659,Asa Lacy,,MLB,,[5] TC1,TC 1
3660,Nick Loftin,,MLB,,[5] TC1,TC 1
3667,Angel Zerpa,,MLB,,[5] TC1,TC 1
3682,Janson Junk,,MLB,,[5] TC1,TC 1
3684,Davis Daniel,,MLB,,[5] TC1,TC 1
3686,Landon Knack,,MLB,,[5] TC1,TC 1
3696,Sixto Sánchez,,MLB,,[5] TC1,TC 1
3710,Justyn-Henry Malloy,,MLB,,[5] TC1,TC 1
3711,Esteury Ruiz,,MLB,,[5] TC1,TC 1
3712,Ethan Small,,MLB,,[5] TC1,TC 1
3718,Austin Martin,,MLB,,[5] TC1,TC 1
3719,Jordan Balazovic,,MLB,,[5] TC1,TC 1
3727,Louie Varland,,MLB,,[5] TC1,TC 1
3729,Cole Sands,,MLB,,[5] TC1,TC 1
3739,Jose Butto,,MLB,,[5] TC1,TC 1
3741,Emmet Sheehan,,MLB,,[5] TC1,TC 1
3747,Clayton Beeter,,MLB,,[5] TC1,TC 1
3750,Randy Vasquez,,MLB,,[5] TC1,TC 1
3753,Wenceel Perez,,MLB,,[5] TC1,TC 1
3754,Gunnar Hoglund,,MLB,,[5] TC1,TC 1
3756,J.T. Ginn,,MLB,,[5] TC1,TC 1
3768,Griff McGarry,,MLB,,[5] TC1,TC 1
3770,Erik Miller,,MLB,,[5] TC1,TC 1
3785,Carmen Mlodzinski,,MLB,,[5] TC1,TC 1
3788,Niko Kavadas,,MLB,,[5] TC1,TC 1
3789,Eguy Rosario,,MLB,,[5] TC1,TC 1
3803,Emerson Hancock,,MLB,,[5] TC1,TC 1
3807,Zach DeLoach,,MLB,,[5] TC1,TC 1
3812,Cade Marlowe,,MLB,,[5] TC1,TC 1
3834,Luken Baker,,MLB,,[5] TC1,TC 1
3836,Hunter Goodman,,MLB,,[5] TC1,TC 1
3837,Connor Thomas,,MLB,,[5] TC1,TC 1
3860,Otto Lopez,,MLB,,[5] TC1,TC 1
3873,Jackson Rutledge,,MLB,,[5] TC1,TC 1
3943,Jonathan Cannon,,MLB,,[5] TC1,TC 1
3977,Andres Chaparro,,MLB,,[5] TC1,TC 1
3978,Cody Morris,,MLB,,[5] TC1,TC 1
3988,Moisés Gómez,,MLB,,[5] TC1,TC 1
3996,Bo Naylor,,MLB,,[5] TC1,TC 1
4013,Jordan Montgomery,,MLB,,[5] TC1,TC 1
4033,Hunter Harvey,,MLB,,[5] TC1,TC 1
4041,Hunter Bigge,,MLB,,[5] TC1,TC 1
4081,Fernando Cruz,,MLB,,[5] TC1,TC 1
4094,Sean Hjelle,,MLB,,[5] TC1,TC 1
4099,Jonny Deluca,,MLB,,[5] TC1,TC 1
4158,Blaze Alexander,,MLB,,[5] TC1,TC 1
