top100_rank,upid,name,FBP_Team,manager,contract_type,org,position,age,level,fypd,debuted
38,6140,Alfredo Duno,LFB,La Flama Blanca,Purchased Contract,CIN,C,20,,False,False
39,3940,Robby Snelling,RV,Rick Vaughn,Purchased Contract,MIA,SP,22,,False,False
40,7199,Josue Briceño,CFL,CFL,Development Cont.,DET,"C,1B",21,AAA,False,False
41,7943,Jamie Arnold,B2J,Btwn2Jackies,Blue Chip Contract,ATH,SP,21,A-,True,False
42,3584,Owen Caissie,JEP,Jepordizers!,Purchased Contract,CHC,CF,23,,False,True
43,3809,Lazaro Montes,B2J,Btwn2Jackies,Blue Chip Contract,SEA,OF,21,,False,False
44,7746,Josuar Gonzalez,LFB,La Flama Blanca,Blue Chip Contract,SF,SS,18,,False,False
45,7948,JoJo Parker,LFB,La Flama Blanca,Blue Chip Contract,TOR,SS,19,,True,False
46,3903,Chase DeLauter,WAR,Weekend Warriors,Purchased Contract,CLE,CF,24,,False,True
47,7945,Aiva Arquette,TBB,The Bluke Blokes,Blue Chip Contract,MIA,SS,22,,True,False
48,6910,Jonah Tong,WAR,Weekend Warriors,Purchased Contract,NYM,SP,22,,False,True
49,3934,Noah Schultz,RV,Rick Vaughn,Blue Chip Contract,CWS,SP,22,,False,False
50,7571,Edward Florentino,HAM,Hammers,Blue Chip Contract,PIT,"1B,OF",19,,False,False
51,3899,Jett Williams,B2J,Btwn2Jackies,Purchased Contract,NYM,"2B,SS,OF",22,,False,False
52,7690,Kaelen Culpepper,HAM,Hammers,Purchased Contract,MIN,SS,23,,False,False
53,3895,Justin Crawford,CFL,Country Fried Lamb,Purchased Contract,PHI,OF,22,,False,False
54,6597,Travis Sykora,WAR,Weekend Warriors,Development Cont.,WSH,SP,21,,False,False
55,3790,Moises Ballesteros,B2J,Btwn2Jackies,Purchased Contract,CHC,C,22,,False,True
