rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
95,det,28,116,Gleyber Torres,650402,242,38,68,12,0,7,0.386,0.803,0.417,38,40,35,4,1,77,0.281,290,101,67,2B,MLB,LFB,LFB,10236,2B
96,cle,27,114,Steven Kwan,680757,287,36,89,17,0,6,0.371,0.803,0.432,24,26,29,10,1,75,0.31,319,124,74,LF,MLB,CFL,CFL,12314,OF
97,mil,33,158,Christian Yelich,592885,284,39,75,10,0,15,0.344,0.802,0.458,56,32,85,12,3,124,0.264,320,130,75,LF,MLB,WAR,WAR,9320,OF
98,sf,30,137,Dominic Smith,642086,47,4,14,3,0,1,0.375,0.801,0.426,8,7,11,1,0,21,0.298,56,20,16,1B,MLB,,,,
99,sf,30,137,Dominic Smith,642086,47,4,14,3,0,1,0.375,0.801,0.426,8,7,11,1,0,21,0.298,56,20,16,1B,MLB,,,,
100,det,32,116,Javier Báez,595879,225,38,65,12,1,9,0.329,0.8,0.471,36,9,52,1,1,93,0.289,240,106,67,CF,MLB,RV,RV,9557,"3B,SS,CF"
101,det,25,116,Spencer Torkelson,679529,264,43,59,17,0,16,0.33,0.8,0.47,49,38,76,1,0,119,0.223,312,124,74,1B,MLB,LFB,LFB,11914,1B
102,lad,32,119,Teoscar Hernández,606192,248,40,66,16,0,14,0.3,0.8,0.5,53,12,64,5,0,118,0.266,264,124,64,RF,MLB,B2J,B2J,10366,OF
103,atl,34,144,Marcell Ozuna,542303,266,34,67,10,0,11,0.385,0.799,0.414,40,58,75,0,0,136,0.252,330,110,75,DH,MLB,TBB,TBB,9385,OF
104,nyy,27,147,Jazz Chisholm Jr.,665862,173,27,42,7,0,10,0.342,0.799,0.457,28,23,58,10,2,94,0.243,202,79,49,2B,MLB,LFB,LFB,10839,"2B,3B,CF"
105,nyy,27,147,Jazz Chisholm Jr.,665862,173,27,42,7,0,10,0.342,0.799,0.457,28,23,58,10,2,94,0.243,202,79,49,2B,MLB,LFB,LFB,10839,"2B,3B,CF"
106,tex,22,140,Evan Carter,694497,83,15,22,3,0,4,0.351,0.797,0.446,11,8,16,6,1,36,0.265,94,37,28,CF,MLB,,,,
107,bos,28,111,Abraham Toro,647351,128,17,37,9,0,5,0.319,0.796,0.477,13,4,22,0,0,40,0.289,135,61,37,1B,MLB,JEP,JEP,11642,"1B,2B,3B"
108,bos,26,111,Wilyer Abreu,677800,223,29,57,9,0,13,0.325,0.796,0.471,36,24,59,4,2,108,0.256,249,105,69,RF,MLB,JEP,JEP,12731,CF
109,col,27,115,Mickey Moniak,666160,192,27,47,6,5,11,0.295,0.795,0.5,27,13,51,3,2,68,0.245,207,96,66,RF,MLB,,,,
110,stl,23,138,Thomas Saggese,695336,48,4,15,4,0,1,0.333,0.791,0.458,7,2,12,0,0,22,0.313,51,22,16,SS,MLB,,,,
111,mia,27,146,Griffin Conine,665052,64,10,18,7,0,1,0.352,0.79,0.438,7,7,19,0,1,29,0.281,71,28,20,LF,MLB,,,,
112,sd,29,135,Gavin Sheets,657757,255,32,68,12,1,12,0.326,0.789,0.463,46,22,58,1,0,123,0.267,282,118,76,1B,MLB,,,,
113,sea,30,136,J.P. Crawford,641487,268,35,76,10,0,6,0.399,0.787,0.388,30,50,56,5,1,86,0.284,324,104,75,SS,MLB,HAM,HAM,9610,SS
114,bos,26,111,Carlos Narváez,665966,205,30,55,16,0,6,0.351,0.785,0.434,23,26,58,1,1,89,0.268,231,89,60,C,MLB,LAW,LAW,60536,C
115,tor,26,141,Alejandro Kirk,672386,236,20,73,8,0,7,0.352,0.784,0.432,36,16,26,0,0,108,0.309,256,102,64,C,MLB,,,,
116,tor,28,141,Daulton Varsho,662139,92,14,19,5,1,8,0.24,0.783,0.543,20,5,31,1,0,54,0.207,100,50,24,CF,MLB,,,,
117,oak,23,133,Tyler Soderstrom,691016,296,42,76,11,1,14,0.338,0.781,0.443,45,33,80,5,0,149,0.257,334,131,80,LF,MLB,WAR,WAR,12005,"1B,OF"
118,bal,23,110,Gunnar Henderson,683002,273,40,75,14,2,8,0.351,0.78,0.429,23,30,75,9,2,84,0.275,305,117,72,SS,MLB,RV,RV,11731,SS
119,tex,27,140,Josh Smith,669701,234,34,66,11,1,7,0.352,0.779,0.427,21,24,45,8,3,88,0.282,262,100,67,SS,MLB,HAM,HAM,12562,"1B,3B,SS,OF"
120,det,30,116,Zach McKinstry,656716,235,37,64,10,7,4,0.353,0.779,0.426,22,29,62,8,1,104,0.272,270,100,71,RF,MLB,JEP,JEP,11700,"2B,3B,SS,OF"
121,tex,31,140,Sam Haggerty,664059,98,17,27,3,3,2,0.349,0.778,0.429,10,11,18,8,2,36,0.276,110,42,35,CF,MLB,,,,
122,nyy,37,147,Paul Goldschmidt,502671,285,48,82,15,1,8,0.346,0.778,0.432,32,24,57,5,0,113,0.288,313,123,78,1B,MLB,HAM,HAM,8967,1B
123,laa,26,108,Jo Adell,666176,226,28,51,8,0,16,0.303,0.776,0.473,39,17,62,3,0,91,0.226,252,107,72,CF,MLB,HAM,HAM,10893,CF
124,tb,30,139,Brandon Lowe,664040,280,46,74,10,0,15,0.314,0.775,0.461,42,20,73,2,1,108,0.264,303,129,73,2B,MLB,WAR,WAR,11125,"1B,2B"
125,ari,33,109,Ildemaro Vargas,545121,28,5,8,2,0,1,0.31,0.774,0.464,4,0,7,0,0,14,0.286,29,13,10,2B,MLB,,,,
126,mil,32,158,Rhys Hoskins,656555,249,28,61,11,0,12,0.339,0.773,0.434,40,34,78,2,1,119,0.245,292,108,75,1B,MLB,TBB,TBB,10556,1B
127,nyy,32,121,Brandon Nimmo,607043,283,37,71,14,0,15,0.314,0.773,0.459,41,25,60,6,1,138,0.251,312,130,76,LF,MLB,B2J,B2J,9876,CF
128,laa,23,108,Nolan Schanuel,694384,277,39,77,15,1,6,0.366,0.77,0.404,30,34,41,3,1,98,0.278,320,112,76,1B,MLB,LAW,LAW,62953,1B
129,laa,33,108,Mike Trout,545361,190,25,43,2,1,12,0.333,0.77,0.437,28,30,64,2,0,63,0.226,225,83,53,RF,MLB,TBB,TBB,8861,CF
130,tor,29,141,Ernie Clement,676391,248,35,77,17,0,4,0.342,0.769,0.427,19,12,29,3,3,109,0.31,266,106,76,3B,MLB,WAR,WAR,11892,"1B,2B,3B,SS"
131,phi,33,143,Nick Castellanos,592206,298,36,85,21,1,8,0.326,0.769,0.443,41,17,60,2,0,145,0.285,322,132,78,RF,MLB,B2J,B2J,9108,OF
132,min,29,142,Kody Clemens,665019,117,18,24,5,1,8,0.299,0.769,0.47,18,13,30,0,1,61,0.205,135,55,51,2B,MLB,,,,
133,mil,29,158,Jake Bauers,641343,100,13,23,5,0,5,0.339,0.769,0.43,18,17,38,4,0,56,0.23,118,43,48,LF,MLB,,,,
134,mil,27,158,Isaac Collins,686555,149,24,39,7,1,4,0.366,0.769,0.403,19,23,42,8,3,65,0.262,176,60,61,LF,MLB,,,,
135,sd,31,135,Jake Cronenworth,630105,176,23,43,9,1,6,0.358,0.767,0.409,22,30,43,2,1,73,0.244,213,72,55,2B,MLB,,,,
136,atl,28,144,Austin Riley,663586,320,45,88,14,1,12,0.329,0.767,0.438,41,23,97,2,1,139,0.275,347,140,78,3B,MLB,LAW,LAW,10420,3B
137,nyy,29,147,Cody Bellinger,641355,273,37,71,14,3,10,0.324,0.767,0.443,38,27,46,7,2,129,0.26,306,121,72,LF,MLB,WIZ,WIZ,10504,"1B,CF"
138,hou,29,117,Jake Meyers,676694,251,36,77,13,1,3,0.365,0.767,0.402,20,23,49,13,5,100,0.307,279,101,77,CF,MLB,,,,
139,ari,25,109,Geraldo Perdomo,672695,285,41,74,17,1,8,0.355,0.766,0.411,53,44,39,11,1,108,0.26,343,117,78,SS,MLB,CFL,CFL,11417,SS
140,wsh,30,120,Alex Call,669743,150,23,41,7,2,2,0.378,0.765,0.387,17,21,25,1,0,63,0.273,185,58,54,RF,MLB,,,,
141,sea,30,136,Luke Raley,670042,80,12,19,3,0,3,0.374,0.762,0.388,14,10,23,2,1,41,0.238,99,31,28,RF,MLB,,,,
142,oak,24,133,Lawrence Butler,671732,308,44,79,23,1,11,0.316,0.761,0.445,32,27,94,11,3,127,0.256,335,137,76,RF,MLB,RV,RV,12719,OF
143,min,28,142,Trevor Larnach,663616,274,41,71,12,1,11,0.328,0.759,0.431,36,26,66,2,2,116,0.259,306,118,74,RF,MLB,,,,
144,tor,27,141,Bo Bichette,666182,332,38,92,19,1,11,0.318,0.758,0.44,48,19,57,4,3,111,0.277,355,146,78,SS,MLB,RV,RV,10766,SS
145,bal,25,110,Colton Cowser,681297,76,8,16,3,0,6,0.268,0.755,0.487,11,3,27,1,0,28,0.211,82,37,21,LF,MLB,RV,RV,12369,CF
146,sea,30,136,Randy Arozarena,668227,279,36,66,19,1,8,0.355,0.753,0.398,31,39,91,14,0,137,0.237,332,111,76,LF,MLB,LFB,LFB,11104,CF
147,sea,30,136,Randy Arozarena,668227,279,36,66,19,1,8,0.355,0.753,0.398,31,39,91,14,0,137,0.237,332,111,76,LF,MLB,LFB,LFB,11104,CF
148,wsh,29,120,Amed Rosario,642708,119,16,33,7,0,4,0.315,0.752,0.437,16,5,16,1,0,39,0.277,127,52,39,3B,MLB,TBB,TBB,10233,"2B,3B,SS,OF"
149,wsh,29,120,Amed Rosario,642708,119,16,33,7,0,4,0.315,0.752,0.437,16,5,16,1,0,39,0.277,127,52,39,3B,MLB,TBB,TBB,10233,"2B,3B,SS,OF"
150,wsh,29,120,Amed Rosario,642708,119,16,33,7,0,4,0.315,0.752,0.437,16,5,16,1,0,39,0.277,127,52,39,3B,MLB,TBB,TBB,10233,"2B,3B,SS,OF"
151,stl,33,138,Willson Contreras,575929,282,39,70,18,0,10,0.333,0.751,0.418,50,25,78,3,0,129,0.248,322,118,75,1B,MLB,SAD,SAD,10166,"C,1B"
152,atl,30,144,Sean Murphy,669221,153,15,34,5,0,9,0.32,0.751,0.431,22,18,53,0,0,72,0.222,178,66,47,C,MLB,,,,
153,sea,31,136,Jorge Polanco,593871,218,26,55,9,0,11,0.303,0.748,0.445,36,14,32,3,2,80,0.252,239,97,65,3B,MLB,,,,
154,min,28,142,Ryan Jeffers,680777,214,24,53,15,0,6,0.346,0.748,0.402,29,28,47,0,0,92,0.248,246,86,63,C,MLB,CFL,CFL,11794,C
155,laa,31,108,Taylor Ward,621493,294,43,62,16,1,19,0.282,0.748,0.466,53,30,88,1,1,139,0.211,330,137,77,LF,MLB,,,,
156,chc,30,112,Ian Happ,664023,285,50,70,14,0,11,0.337,0.748,0.411,38,40,73,4,1,100,0.246,329,117,70,LF,MLB,CFL,CFL,10440,OF
157,phi,29,143,Edmundo Sosa,624641,107,12,31,7,0,2,0.336,0.747,0.411,16,6,23,0,0,36,0.29,117,44,40,2B,MLB,,,,
158,cle,24,114,Kyle Manzardo,700932,223,24,49,11,2,12,0.298,0.746,0.448,32,24,64,1,0,111,0.22,252,100,67,1B,MLB,,,,
159,hou,35,117,Jose Altuve,514888,293,36,78,10,0,12,0.323,0.746,0.423,34,25,52,6,5,134,0.266,322,124,76,LF,MLB,LAW,LAW,8996,"2B,OF"
160,min,31,142,Harrison Bader,664056,195,21,49,10,0,7,0.336,0.746,0.41,27,20,53,7,3,88,0.251,223,80,71,LF,MLB,,,,
161,pit,38,134,Andrew McCutchen,457705,251,25,65,13,0,8,0.338,0.744,0.406,28,29,59,1,0,101,0.259,285,102,71,RF,MLB,,,,
