rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts
71,fa,32,145,605288,Adrian Houser,6,1.26,35.2,32,9,9,13,26,2,107,146,558,2.27,0,0,0,2,2,6,0,0
72,fa,30,141,641778,Eric Lauer,10,0.93,35.1,22,9,9,11,36,4,106,138,541,2.29,0,0,0,3,1,4,0,0
73,fa,24,141,680755,Braydon Fisher,18,0.78,19.1,12,5,5,3,27,2,58,71,279,2.33,0,1,0,1,0,1,0,0
74,fa,26,114,671922,Cade Smith,36,1.17,34.1,27,11,9,13,53,0,103,145,588,2.36,3,15,1,2,2,0,0,0
75,fa,28,118,663738,Daniel Lynch IV,33,1.37,34.1,29,10,9,18,23,3,103,146,553,2.36,1,4,0,3,2,2,0,0
76,fa,24,143,689147,Orion Kerkering,34,1.35,30.1,24,13,8,17,28,2,91,133,508,2.37,2,11,4,5,2,0,0,0
77,fa,32,121,657585,Reed Garrett,32,1.35,30.1,24,11,8,17,37,1,91,131,527,2.37,2,14,4,2,3,0,0,0
78,fa,33,158,642239,Rob Zastryzny,13,1.06,11.1,10,3,3,2,14,3,34,46,181,2.38,0,1,0,2,1,1,0,0
79,fa,35,121,623211,Huascar Brazobán,32,1.01,41.2,26,14,11,16,39,4,125,163,616,2.38,1,9,4,3,2,2,0,0
80,fa,28,137,657277,Logan Webb,16,1.12,101.1,93,32,28,20,114,6,304,408,1546,2.49,0,0,0,7,5,16,0,0
81,fa,30,116,676684,Will Vest,33,1.0,36.0,26,11,10,10,40,2,108,144,620,2.5,12,1,3,5,1,0,0,0
82,fa,28,114,663671,Nic Enright,9,1.13,10.2,7,3,3,5,8,1,32,44,195,2.53,0,0,1,0,0,0,0,0
83,fa,30,138,676617,Riley O'Brien,11,1.07,14.0,11,4,4,4,9,2,42,52,209,2.57,0,1,0,0,0,0,0,0
84,fa,30,146,669622,Anthony Bender,32,1.12,31.1,21,10,9,14,23,3,94,130,479,2.59,1,12,3,1,5,0,0,0
85,fa,29,146,676083,Janson Junk,6,1.01,27.2,26,8,8,2,25,0,83,109,380,2.6,1,0,0,2,0,1,0,0
86,fa,33,117,595345,Steven Okert,30,0.66,34.2,17,11,10,6,44,4,104,128,486,2.6,1,3,2,1,2,0,0,0
87,fa,29,139,656876,Drew Rasmussen,15,0.97,79.1,59,23,23,18,67,8,238,305,1188,2.61,0,0,0,6,5,15,0,0
88,fa,28,141,684320,Yariel Rodríguez,31,0.87,38.0,21,11,11,12,36,5,114,141,573,2.61,1,9,1,1,0,1,0,0
89,fa,35,143,554430,Zack Wheeler,15,0.91,93.0,63,28,27,22,118,10,279,359,1488,2.61,0,0,0,7,2,15,0,0
90,fa,27,121,676130,José Buttó,29,1.28,40.2,33,14,12,19,36,2,122,167,658,2.66,1,2,1,2,1,0,0,0
91,fa,35,147,657612,Tim Hill,36,1.1,33.2,26,12,10,11,18,4,101,135,464,2.67,0,5,0,3,2,0,0,0
92,fa,30,110,669211,Keegan Akin,35,1.34,33.2,27,11,10,18,36,4,101,141,584,2.67,0,12,2,2,0,3,0,0
93,fa,25,135,688158,David Morgan,12,1.28,13.1,10,4,4,7,17,2,40,56,224,2.7,0,0,0,0,1,0,0,0
94,fa,31,139,664076,Garrett Cleavinger,31,0.9,30.0,21,10,9,6,38,6,90,119,434,2.7,1,10,1,0,3,0,0,0
95,fa,31,158,656730,Trevor Megill,30,1.31,26.2,21,9,8,14,32,1,80,114,446,2.7,17,0,2,1,2,0,0,0
96,fa,30,110,642585,Félix Bautista,27,1.13,26.2,13,8,8,17,36,2,80,109,471,2.7,16,0,1,0,1,0,0,0
97,fa,28,138,668941,JoJo Romero,29,1.39,23.0,18,9,7,14,16,1,69,98,378,2.74,0,10,0,3,3,0,0,0
98,fa,26,116,676428,Brant Hurter,24,1.25,39.1,34,19,12,15,39,3,118,168,621,2.75,2,2,0,2,3,4,0,0
99,fa,30,147,642528,Jonathan Loáisiga,15,1.04,16.1,12,6,5,5,15,4,49,68,242,2.76,0,4,1,0,1,0,0,0
100,fa,29,158,642547,Freddy Peralta,16,1.11,88.0,64,28,27,34,90,11,264,363,1513,2.76,0,0,0,7,4,16,0,0
101,fa,26,119,808967,Yoshinobu Yamamoto,15,1.09,84.2,62,29,26,30,95,9,254,340,1416,2.76,0,0,0,6,6,15,0,0
102,fa,33,137,592662,Robbie Ray,16,1.16,92.1,71,32,29,36,104,9,277,377,1504,2.83,0,0,0,8,2,16,0,0
103,fa,30,111,669711,Greg Weissert,38,1.14,35.0,29,14,11,11,32,3,105,143,544,2.83,3,14,3,2,2,0,0,0
104,fa,29,147,657376,Clarke Schmidt,12,1.06,69.2,48,22,22,26,65,6,209,277,1086,2.84,0,0,0,4,3,12,0,0
105,fa,34,112,571510,Matthew Boyd,15,1.14,85.2,77,32,27,21,79,10,257,346,1350,2.84,0,0,0,6,3,15,0,0
106,fa,30,136,642100,Gabe Speier,33,1.02,28.1,22,9,9,7,40,3,85,114,424,2.86,0,8,2,2,0,0,0,0
107,fa,28,143,650911,Cristopher Sánchez,15,1.19,87.2,76,29,28,28,92,7,263,363,1346,2.87,0,0,0,6,2,15,0,0
108,fa,30,110,641329,Bryan Baker,37,0.99,34.1,26,13,11,8,42,6,103,131,529,2.88,2,9,3,3,2,0,0,0
109,fa,28,116,663554,Casey Mize,13,1.24,72.0,71,25,23,18,64,10,216,301,1111,2.88,0,0,0,7,2,13,0,0
110,fa,25,115,680767,Victor Vodnik,22,1.2,21.2,15,8,7,11,19,3,65,86,380,2.91,1,2,2,2,2,0,0,0
111,fa,30,134,670280,David Bednar,31,1.12,27.2,23,11,9,8,39,2,83,112,448,2.93,11,3,0,2,5,0,0,0
112,fa,35,118,607625,Seth Lugo,14,1.05,83.0,64,29,27,23,68,12,249,326,1289,2.93,0,0,0,4,5,14,0,0
113,fa,33,120,640448,Kyle Finnegan,28,1.23,27.2,26,11,9,8,22,2,83,114,435,2.93,18,0,5,0,2,0,0,0
114,fa,25,145,678024,Mike Vasil,21,1.35,49.0,39,17,16,27,38,5,147,213,798,2.94,1,1,1,3,2,3,0,0
115,fa,28,138,681517,Kyle Leahy,33,1.17,42.2,35,14,14,15,34,4,128,175,641,2.95,0,12,1,2,1,0,0,0
116,fa,28,134,657571,Caleb Ferguson,35,1.05,33.1,23,11,11,12,26,0,100,134,515,2.97,0,8,3,2,0,0,0,0
117,fa,29,136,660825,Eduard Bazardo,34,1.07,39.1,27,13,13,15,33,4,118,156,628,2.97,0,1,1,2,0,0,0,0
118,fa,31,109,656222,Jalen Beeks,36,1.02,36.1,26,14,12,11,33,3,109,146,576,2.97,1,10,1,2,0,0,0,0
119,fa,36,158,500779,Jose Quintana,10,1.4,54.1,51,22,18,25,36,6,163,232,912,2.98,0,0,0,5,2,10,0,0
120,fa,29,121,656849,David Peterson,15,1.24,90.2,81,33,30,31,78,6,272,378,1402,2.98,0,0,0,5,3,15,1,1
121,fa,33,142,592779,Brock Stewart,24,1.1,21.0,15,7,7,8,29,2,63,87,358,3.0,0,8,1,1,1,0,0,0
122,fa,23,145,691799,Grant Taylor,6,1.0,6.0,5,2,2,1,7,0,18,23,89,3.0,1,2,1,0,0,1,0,0
123,fa,25,146,678692,Ronny Henriquez,33,1.33,36.0,32,15,12,16,48,6,108,158,606,3.0,2,10,2,3,1,0,0,0
124,fa,28,113,663574,Tony Santillan,38,1.08,36.0,29,12,12,10,30,4,108,147,597,3.0,2,17,2,1,1,0,0,0
125,fa,34,108,579328,Yusei Kikuchi,16,1.43,89.2,85,35,30,43,87,11,269,385,1523,3.01,0,0,0,2,6,16,0,0
126,fa,27,139,686752,Ryan Pepiot,16,1.1,94.2,76,33,32,28,91,14,284,376,1481,3.04,0,0,0,5,6,16,0,0
127,fa,32,121,605280,Clay Holmes,15,1.23,83.0,71,30,28,31,73,9,249,346,1342,3.04,0,0,0,7,4,15,0,0
128,fa,29,142,657746,Joe Ryan,15,0.91,85.1,58,30,29,20,96,10,256,335,1365,3.06,0,0,0,7,3,14,0,0
129,fa,28,117,687911,Bryan King,34,1.02,32.1,26,11,11,7,36,3,97,132,519,3.06,0,15,1,3,1,0,0,0
130,fa,27,139,687330,Kevin Kelly,14,0.95,14.2,12,5,5,2,11,3,44,55,201,3.07,0,2,1,0,0,0,0,0
131,fa,29,140,676395,Robert Garcia,34,1.23,29.1,25,10,10,11,28,2,88,120,446,3.07,5,10,3,1,3,0,0,0
132,fa,26,158,669084,DL Hall,7,1.16,14.2,8,5,5,9,10,1,44,60,228,3.07,0,0,0,1,0,2,0,0
133,fa,31,117,664285,Framber Valdez,15,1.13,96.0,75,33,33,33,99,6,288,385,1394,3.09,0,0,0,8,4,15,2,0
134,fa,29,119,681911,Alex Vesia,37,1.06,32.0,24,11,11,10,44,7,96,128,552,3.09,3,13,0,2,0,0,0,0
135,fa,32,147,607074,Carlos Rodón,16,0.98,95.2,61,36,33,33,114,13,287,380,1543,3.1,0,0,0,9,5,16,0,0
136,fa,33,111,657514,Brennan Bernardino,34,1.28,29.0,24,15,10,13,26,1,87,129,486,3.1,0,2,0,3,2,0,0,0
137,fa,25,136,693433,Bryan Woo,15,0.95,95.1,76,33,33,15,87,13,286,376,1338,3.12,0,0,0,7,4,15,0,0
138,fa,28,136,669302,Logan Gilbert,8,0.89,40.1,29,14,14,7,60,7,121,158,673,3.12,0,0,0,2,2,8,0,0
139,fa,25,136,672841,Carlos Vargas,34,1.43,37.0,38,16,13,15,30,4,111,161,546,3.16,1,9,3,2,5,0,0,0
