#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName,CBSSportsName,CBSSportsID
87,Nick Castellanos,592206,11737,11737,8221,*01uc9*,SD,OF,OF,Castellanos,Nick,Castellanos,Nick,Nick Castellanos,Nick Castellanos OF | SD,1765816
88,J.T. Realmuto,592663,11739,11739,8800,*025i9*,PHI,C,C,Realmuto,J.T.,Realmuto,J.T.,J.T. Realmuto,J.T. Realmuto C | PHI,1947839
89,Luke Jackson,592426,11752,11752,8716,*025ey*,FA,RP,RP,Jackson,Luke,,,,Luke Jackson P | FA,1765054
90,Taijuan Walker,592836,11836,11836,8418,*025dq*,PHI,SP,SP,Walker,Taijuan,Walker,Taijuan,Taijuan Walker,Taijuan Walker P | PHI,1757981
91,Joc Pederson,592626,11899,11899,8688,*026qc*,TEX,DH,DH,Pederson,Joc,Pederson,Joc,Joc Pederson,Joc Pederson DH | TEX,1811026
92,Michael Feliz,593140,11903,11903,9055,*02z6i*,BOS,RP,RP,Feliz,Michael,,,,Michael Feliz P | BOS,0
93,Jon Berti,542932,12037,12037,10113,*02c4r*,FA,2B,2B,Berti,Jon,,,,Jon Berti 2B | FA,1957205
94,Yimi Garcia,554340,12095,12095,8895,*02z0e*,TOR,RP,RP,Garcia,Yimi,García,Yimi,Yimi García,Yimi Garcia P | TOR,2048494
95,Max Kepler,596146,12144,12144,9172,*01vja*,FA,OF,OF,Kepler,Max,,,,Max Kepler OF | FA,2044504
96,Nick Ahmed,605113,12147,12147,8833,*02br3*,FA,SS,SS,Ahmed,Nick,,,,Nick Ahmed SS | FA,1959715
97,Eddie Rosario,592696,12155,12155,8675,*025f7*,FA,OF,OF,Rosario,Eddie,,,,Eddie Rosario OF | FA,1910546
98,Ben Gamel,592325,12160,12160,9197,*02hka*,ATL,OF,OF,Gamel,Ben,Gamel,Ben,Ben Gamel,Ben Gamel OF | ATL,1961737
99,Xander Bogaerts,593428,12161,12161,8417,*025gb*,SD,SS,SS,Bogaerts,Xander,Bogaerts,Xander,Xander Bogaerts,Xander Bogaerts SS | SD,1945481
100,Miguel Sano,593934,12164,12164,8222,*01s9d*,FA,3B,3B,Sano,Miguel,,,,Miguel Sano 3B | FA,1739669
101,Jorge Alfaro,595751,12180,12180,8715,*025iy*,KC,OF,OF,Alfaro,Jorge,Alfaro,Jorge,Jorge Alfaro,Jorge Alfaro OF | KC,1846227
102,Chris Bassitt,605135,12304,12304,8879,*02c2h*,BAL,SP,SP,Bassitt,Chris,Bassitt,Chris,Chris Bassitt,Chris Bassitt P | BAL,2114418
103,Colin Rea,607067,12317,12317,9124,*02bzn*,CHC,SP,SP,Rea,Colin,Rea,Colin,Colin Rea,Colin Rea P | CHC,2170141
104,Spencer Patton,607359,12361,12361,8915,*03jvx*,ATH,RP,RP,Patton,Spencer,,,,Spencer Patton P | ATH,2120864
105,Kevin Pillar,607680,12434,12434,8576,*02xi1*,FA,OF,OF,Pillar,Kevin,,,,Kevin Pillar OF | FA,2046044
106,Seth Lugo,607625,12447,12447,9312,*03sef*,KC,SP,SP,Lugo,Seth,Lugo,Seth,Seth Lugo,Seth Lugo P | KC,2210221
107,Curt Casali,592200,12510,12510,8847,*02bxm*,FA,C,C,Casali,Curt,,,,Curt Casali C | FA,1935463
108,Marcus Semien,543760,12533,12533,8602,*02bu9*,NYM,2B,2B,Semien,Marcus,Semien,Marcus,Marcus Semien,Marcus Semien 2B | NYM,1947827
109,Eugenio Suarez,553993,12552,12552,8805,*02jh6*,CIN,3B,3B,Suarez,Eugenio,Suárez,Eugenio,Eugenio Suárez,Eugenio Suarez 3B | CIN,1960254
110,Trevor Story,596115,12564,12564,8658,*02bqh*,BOS,SS,SS,Story,Trevor,Story,Trevor,Trevor Story,Trevor Story SS | BOS,1945488
111,Blake Treinen,595014,12572,12572,8756,*02bve*,LAD,RP,RP,Treinen,Blake,Treinen,Blake,Blake Treinen,Blake Treinen P | LAD,1953420
112,Trevor Bauer,545333,12703,12703,8234,*025hm*,LAD,SP,SP,Bauer,Trevor,,,,Trevor Bauer P | LAD,1852623
113,Adrian Houser,605288,12718,12718,9175,*02brc*,SF,SP,SP,Houser,Adrian,Houser,Adrian,Adrian Houser,Adrian Houser P | SF,1947840
114,Nick Martinez,607259,12730,12730,8748,*02c4q*,TB,SP,SP,Martinez,Nick,Martinez,Nick,Nick Martinez,Nick Martinez P | TB,2119647
115,Rafael Montero,606160,12760,12760,8682,*02jhl*,NYY,RP,RP,Montero,Rafael,Montero,Rafael,Rafael Montero,Rafael Montero P | NYY,2038824
116,Sonny Gray,543243,12768,12768,8546,*0260v*,BOS,SP,SP,Gray,Sonny,Gray,Sonny,Sonny Gray,Sonny Gray P | BOS,1894635
117,Andrew Kittredge,552640,12828,12828,9706,*04ggi*,BAL,RP,RP,Kittredge,Andrew,Kittredge,Andrew,Andrew Kittredge,Andrew Kittredge P | BAL,2228478
118,George Springer,543807,12856,12856,8433,*025he*,TOR,OF,OF,Springer,George,Springer,George,George Springer,George Springer OF | TOR,1894629
119,Shawn Armstrong,542888,12857,12857,9123,*02c47*,CLE,RP,RP,Armstrong,Shawn,Armstrong,Shawn,Shawn Armstrong,Shawn Armstrong P | CLE,2121144
120,James McCann,543510,12859,12859,8897,*02bra*,ARI,C,C,McCann,James,McCann,James,James McCann,James McCann C | ARI,1935464
121,Anthony Rendon,543685,12861,12861,8225,*01tt9*,LAA,3B,3B,Rendon,Anthony,Rendon,Anthony,Anthony Rendon,Anthony Rendon 3B | LAA,1894625
