upid,name,fbp_team,manager,age,role,mlb_pa_approx,mlb_g_bat,mlb_ip,mlb_g_pit,fail_reasons
3811,Sterlin Thompson,,,24,batter,505.0,119.0,0,0,PA|GP
4634,T.J. Rumfield,,,25,batter,464.0,114.0,0,0,PA|GP
6594,Tai Peete,,,20,batter,523.0,115.0,0,0,PA|GP
3283,Thomas Szapucki,,,29,batter,22.0,18.0,0,0,AGE
4523,Tirso Ornelas,,,25,batter,2069.0,489.0,0,0,PA|GP
7576,Trent Harris,,,26,batter,13.0,29.0,0,0,AGE
4795,Trey Cabbage,,,28,batter,145.0,0,0,0,AGE
4790,Troy Johnston,,,28,batter,2009.0,448.0,0,0,AGE|PA|GP
3609,Tyler Callihan,,,25,batter,649.0,161.0,0,0,PA|GP
6722,Tyler Cleveland,,,26,batter,49.0,61.0,0,0,AGE
6788,Tyler Collins,,,35,batter,1045.0,437.0,0,0,AGE|PA|GP
4537,Tyler Gentry,,,26,batter,561.0,129.0,0,0,AGE|PA|GP
3704,Victor Mesa Jr.,,,24,batter,1698.0,402.0,0,0,PA|GP
7620,Victor Scott,,,24,batter,591.0,0,0,0,PA
3552,Victor Vodnik,,,26,pitcher,50.0,45.0,81.4,0,AGE
7811,Welinton Herrera,,,21,batter,49.0,82.0,0,0,GP
3753,Wenceel Perez,,,26,batter,1914.0,275.0,0,0,AGE|PA|GP
4102,William Bergolla,,,21,batter,825.0,213.0,0,0,PA|GP
3642,Wilmer Flores,,,24,batter,1310.0,1648.0,0,0,PA|GP
4596,Yendry Rojas,,,23,batter,529.0,144.0,0,0,PA|GP
4669,Yordany De Los Santos,,,20,batter,431.0,116.0,0,0,PA|GP
4210,Yunior Marte,,,22,batter,207.0,195.0,0,0,GP
3807,Zach DeLoach,,,27,batter,567.0,116.0,0,0,AGE|PA|GP
3477,Cade Cavalli,DRO,Andromedans,27,batter,16.0,9.0,0,0,AGE
6069,Joe Boyle,DRO,Andromedans,26,pitcher,72.0,21.0,115.2,0,AGE|IP
3495,Nick Yorke,DRO,Andromedans,23,batter,1241.0,266.0,0,0,PA|GP
3538,Slade Cecconi,DRO,Andromedans,26,pitcher,52.0,38.0,236.0,0,AGE|IP
6649,Thayron Liranzo,DRO,Andromedans,22,batter,584.0,135.0,0,0,PA|GP
2436,Edwin Arroyo,B2J,Btwn2Jackies,22,batter,922.0,206.0,0,0,PA|GP
4687,River Ryan,B2J,Btwn2Jackies,27,pitcher,10.0,7.0,20.1,0,AGE
3910,Spencer Jones,B2J,Btwn2Jackies,24,batter,1031.0,274.0,0,0,PA|GP
6579,Welbyn Francisca,B2J,Btwn2Jackies,19,batter,375.0,85.0,0,0,PA|GP
6988,Zebby Matthews,B2J,Btwn2Jackies,25,pitcher,10.0,15.0,116.3,0,IP
2236,Carson Williams,CFL,Country Fried Lamb,22,batter,1454.0,333.0,0,0,PA|GP
2237,Carter Jensen,CFL,Country Fried Lamb,22,batter,1334.0,313.0,0,0,PA|GP
7179,Hayden Harris,CFL,Country Fried Lamb,26,batter,32.0,48.0,0,0,AGE
3782,Jaison Chourio,CFL,Country Fried Lamb,20,batter,779.0,177.0,0,0,PA|GP
2979,Michael McGreevy,CFL,Country Fried Lamb,25,pitcher,64.0,49.0,118.2,0,IP
7346,Payton Eeles,CFL,Country Fried Lamb,26,batter,0,0,0,0,AGE
6759,Roc Riggio,CFL,Country Fried Lamb,23,batter,469.0,106.0,0,0,PA|GP
4610,Angel Genao,HAM,Hammers,21,batter,360.0,87.0,0,0,PA|GP
3953,Chandler Simpson,HAM,Hammers,25,batter,826.0,91.0,0,0,PA|GP
4575,Drake Baldwin,HAM,Hammers,24,batter,839.0,92.0,0,0,PA|GP
3926,Dylan Beavers,JEP,Jepordizers!,24,batter,859.0,204.0,0,0,PA|GP
6562,Dylan Crews,JEP,Jepordizers!,23,batter,447.0,0,0,0,PA
3580,James Triantos,JEP,Jepordizers!,22,batter,872.0,202.0,0,0,PA|GP
3708,Jeferson Quero,JEP,Jepordizers!,23,batter,374.0,90.0,0,0,PA|GP
3853,Luisangel Acuña,JEP,Jepordizers!,23,batter,1325.0,246.0,0,0,PA|GP
3584,Owen Caissie,JEP,Jepordizers!,23,batter,1486.0,352.0,0,0,PA|GP
3483,Ronny Mauricio,JEP,Jepordizers!,24,batter,1940.0,388.0,0,0,PA|GP
3982,Thomas Saggese,JEP,Jepordizers!,23,batter,1152.0,191.0,0,0,PA|GP
3883,Druw Jones,LFB,La Flama Blanca,22,batter,463.0,109.0,0,0,PA|GP
2450,Emmanuel Rodriguez,LFB,La Flama Blanca,22,batter,446.0,99.0,0,0,PA|GP
3499,Harry Ford,LFB,La Flama Blanca,22,batter,1529.0,338.0,0,0,PA|GP
3902,Jace Jung,LFB,La Flama Blanca,25,batter,507.0,81.0,0,0,PA|GP
6617,Ralphy Velazquez,LFB,La Flama Blanca,20,batter,365.0,82.0,0,0,PA|GP
3746,Roderick Arias,LFB,La Flama Blanca,21,batter,541.0,124.0,0,0,PA|GP
6616,Starlyn Caba,LFB,La Flama Blanca,20,batter,385.0,90.0,0,0,PA|GP
3454,Zac Veen,LFB,La Flama Blanca,24,batter,855.0,198.0,0,0,PA|GP
6602,Blake Mitchell,LAW,Law-Abiding Citizens,21,batter,457.0,106.0,0,0,PA|GP
3894,Cade Horton,LAW,Law-Abiding Citizens,24,pitcher,15.0,9.0,118.0,0,IP
7335,Craig Yoho,LAW,Law-Abiding Citizens,26,batter,10.0,17.0,0,0,AGE
6532,Hector Rodriguez,LAW,Law-Abiding Citizens,21,batter,1557.0,446.0,0,0,PA|GP
3852,Roman Anthony,LAW,Law-Abiding Citizens,21,batter,668.0,84.0,0,0,PA|GP
6543,Alex Freeland,RV,Rick Vaughn,24,batter,452.0,106.0,0,0,PA|GP
3891,Cam Collier,RV,Rick Vaughn,21,batter,940.0,230.0,0,0,PA|GP
3937,Kumar Rocker,RV,Rick Vaughn,26,pitcher,7.0,6.0,75.3,0,AGE
6573,Kyle Teel,RV,Rick Vaughn,23,batter,663.0,84.0,0,0,PA|GP
7703,Nick Kurtz,RV,Rick Vaughn,22,batter,483.0,0,0,0,PA
6834,Robert Calaz,RV,Rick Vaughn,20,batter,383.0,92.0,0,0,PA|GP
6141,Sebastian Walcott,RV,Rick Vaughn,19,batter,638.0,151.0,0,0,PA|GP
3901,Cole Young,TBB,The Bluke Blokes,22,batter,1144.0,202.0,0,0,PA|GP
3540,Deyvison De Los Santos,TBB,The Bluke Blokes,22,batter,477.0,113.0,0,0,PA|GP
