rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev
320,fa,34,139,Travis Jankowski,608671,45,7,11,2,0,0,0.286,0.575,0.289,2,3,12,2,0,16,0.244,49,13,21,RF,MLB
321,fa,26,141,Andrés Giménez,665926,177,22,34,6,0,4,0.28,0.574,0.294,14,14,32,9,1,89,0.192,201,52,51,2B,MLB
322,fa,27,145,Luis Robert Jr.,673357,245,26,45,8,0,7,0.271,0.573,0.302,31,29,88,22,6,121,0.184,281,74,71,CF,MLB
323,fa,36,118,Mark Canha,592192,97,8,23,3,0,0,0.303,0.571,0.268,4,7,20,0,1,48,0.237,109,26,41,LF,MLB
324,fa,22,120,Daylen Lile,695734,57,6,10,4,1,1,0.238,0.571,0.333,3,4,14,1,2,32,0.175,64,19,18,RF,MLB
325,fa,28,134,Ke'Bryan Hayes,663647,268,22,62,4,2,2,0.285,0.569,0.284,22,16,59,9,2,123,0.231,289,76,73,3B,MLB
326,fa,28,109,Jose Herrera,645444,95,11,18,4,0,1,0.306,0.569,0.263,8,16,28,0,0,38,0.189,118,25,33,C,MLB
327,fa,24,115,Ryan Ritter,690022,51,7,11,1,2,0,0.255,0.569,0.314,6,2,21,0,0,19,0.216,56,16,15,SS,MLB
328,fa,27,115,Brenton Doyle,686668,253,26,50,10,2,5,0.255,0.567,0.312,25,20,69,8,0,95,0.198,275,79,66,CF,MLB
329,fa,22,120,Brady House,691781,32,0,8,1,0,0,0.286,0.567,0.281,3,2,6,2,0,12,0.25,35,9,8,3B,MLB
330,fa,37,134,Tommy Pham,502054,162,15,35,6,0,1,0.293,0.565,0.272,14,18,48,3,1,73,0.216,184,44,53,LF,MLB
331,fa,32,119,Michael Conforto,624424,212,27,35,10,0,4,0.296,0.565,0.269,13,33,63,1,0,97,0.165,253,57,68,LF,MLB
332,fa,35,135,Jose Iglesias,578428,146,10,34,5,0,0,0.296,0.563,0.267,19,9,26,2,1,55,0.233,164,39,54,2B,MLB
333,fa,23,138,Jordan Walker,691023,176,21,37,4,1,3,0.267,0.562,0.295,23,12,63,3,2,94,0.21,191,52,55,RF,MLB
334,fa,21,111,Roman Anthony,701350,39,5,5,2,0,1,0.306,0.562,0.256,5,9,12,1,0,19,0.128,49,10,13,CF,MLB
335,fa,30,116,Jake Rogers,668670,48,6,9,2,1,0,0.291,0.562,0.271,4,7,11,0,0,18,0.188,55,13,18,C,MLB
336,fa,28,108,Luis Rengifo,650859,242,20,53,7,0,4,0.263,0.561,0.298,18,14,45,2,5,80,0.219,260,72,71,3B,MLB
337,fa,24,121,Ronny Mauricio,677595,50,5,9,1,0,2,0.241,0.561,0.32,3,3,18,2,0,25,0.18,54,16,15,SS,MLB
338,fa,21,136,Cole Young,702284,59,6,14,3,0,0,0.27,0.558,0.288,7,3,17,0,0,26,0.237,64,17,18,2B,MLB
339,fa,26,144,Nick Allen,669397,197,21,44,7,0,0,0.297,0.556,0.259,13,19,48,6,4,85,0.223,225,51,68,SS,MLB
340,fa,32,113,Connor Joe,656582,58,2,12,4,0,0,0.273,0.549,0.276,4,6,17,2,2,28,0.207,66,16,29,RF,MLB
341,fa,26,143,Rafael Marchán,665561,49,5,8,2,0,1,0.281,0.546,0.265,5,7,10,0,0,32,0.163,57,13,20,C,MLB
342,fa,31,108,LaMonte Wade Jr.,664774,163,15,28,8,2,1,0.28,0.544,0.264,15,22,43,1,0,83,0.172,191,43,59,1B,MLB
343,fa,26,158,Joey Ortiz,687401,245,29,52,8,0,2,0.272,0.541,0.269,14,17,46,8,3,114,0.212,270,66,77,SS,MLB
344,fa,27,118,John Rave,670231,34,2,7,3,0,0,0.243,0.537,0.294,3,2,11,2,1,18,0.206,39,10,20,RF,MLB
345,fa,40,112,Justin Turner,457759,101,7,20,2,0,1,0.286,0.534,0.248,12,13,20,1,0,41,0.198,119,25,42,1B,MLB
346,fa,26,137,Patrick Bailey,672275,173,19,33,9,1,1,0.259,0.531,0.272,16,17,62,0,0,80,0.191,195,47,60,C,MLB
347,fa,38,135,Martín Maldonado,455117,103,7,19,3,0,3,0.229,0.53,0.301,7,6,40,0,0,35,0.184,113,31,44,C,MLB
348,fa,23,110,Coby Mayo,691723,56,4,11,4,0,0,0.262,0.53,0.268,4,5,16,1,0,28,0.196,61,15,18,3B,MLB
349,fa,27,137,Christian Koss,683766,73,7,16,0,0,1,0.269,0.529,0.26,9,4,22,1,0,40,0.219,81,19,34,2B,MLB
350,fa,29,144,Stuart Fairchild,656413,33,7,6,1,1,0,0.25,0.523,0.273,2,3,9,2,1,16,0.182,36,9,22,RF,MLB
351,fa,30,115,Orlando Arcia,606115,88,5,18,2,1,1,0.239,0.523,0.284,5,4,18,0,0,39,0.205,92,25,31,SS,MLB
352,fa,34,142,Christian Vázquez,543877,123,10,22,6,0,2,0.244,0.52,0.276,9,11,24,0,1,63,0.179,135,34,41,C,MLB
353,fa,25,147,Oswald Peraza,672724,114,13,18,5,0,3,0.238,0.519,0.281,13,11,34,0,0,57,0.158,126,32,50,3B,MLB
354,fa,29,114,David Fry,681807,33,3,5,1,0,1,0.243,0.516,0.273,3,3,16,1,0,21,0.152,37,9,15,1B,MLB
355,fa,22,108,Christian Moore,695681,32,3,5,0,1,1,0.2,0.513,0.313,3,2,12,0,0,14,0.156,36,10,11,2B,MLB
356,fa,25,114,Johnathan Rodríguez,671286,29,3,5,2,1,0,0.2,0.51,0.31,1,1,11,0,0,12,0.172,30,9,12,RF,MLB
357,fa,28,158,Daz Cameron,663662,41,7,8,1,0,1,0.214,0.507,0.293,3,1,13,1,0,13,0.195,42,12,21,RF,MLB
358,fa,27,111,David Hamilton,666152,105,14,19,3,0,3,0.211,0.506,0.295,10,3,30,12,3,44,0.181,111,31,53,2B,MLB
359,fa,27,108,Gustavo Campero,672569,15,1,3,0,0,0,0.294,0.494,0.2,0,2,2,1,0,6,0.2,17,3,7,RF,MLB
360,fa,35,112,Jon Berti,542932,82,12,17,2,0,0,0.261,0.493,0.232,2,4,20,8,1,39,0.207,88,19,38,3B,MLB
