rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
256,nyy,33,147,642232,Ryan Yarbrough,16,1.17,55.1,48,24,24,17,49,10,166,226,878,3.9,0,0,0,3,1,8,0,0,,,,
257,nyy,29,121,656288,Griffin Canning,15,1.41,73.2,69,35,32,35,67,8,221,319,1307,3.91,0,0,0,7,3,15,0,0,,,,
258,cin,32,113,605130,Scott Barlow,37,1.17,34.1,19,16,15,21,36,2,103,146,612,3.93,0,7,0,3,0,0,0,0,,,,
259,nyy,34,147,643410,Mark Leiter Jr.,37,1.5,32.0,38,17,14,10,44,3,96,144,557,3.94,2,10,3,4,4,0,0,0,RV,RV,10681,RP
260,nyy,34,147,643410,Mark Leiter Jr.,37,1.5,32.0,38,17,14,10,44,3,96,144,557,3.94,2,10,3,4,4,0,0,0,RV,RV,10681,RP
261,sd,28,135,663568,Stephen Kolek,10,1.3,57.0,54,28,25,20,42,5,171,241,901,3.95,0,0,0,3,3,10,1,1,,,,
262,nyy,29,121,656731,Tylor Megill,14,1.36,68.1,60,37,30,33,89,6,205,305,1234,3.95,0,0,0,5,5,14,0,0,LFB,LFB,12215,SP
263,stl,25,138,669461,Matthew Liberatore,15,1.15,86.1,87,40,38,12,71,7,259,356,1267,3.96,0,0,0,5,6,15,0,0,,,,
264,cle,28,114,682120,Tim Herrin,32,1.48,25.0,21,11,11,16,24,3,75,112,433,3.96,0,11,0,4,2,0,0,0,,,,
265,atl,29,144,660853,Enyel De Los Santos,32,1.11,31.2,24,14,14,11,31,2,95,130,527,3.98,0,2,1,2,2,0,0,0,,,,
266,atl,29,144,660853,Enyel De Los Santos,32,1.11,31.2,24,14,14,11,31,2,95,130,527,3.98,0,2,1,2,2,0,0,0,,,,
267,atl,29,144,660853,Enyel De Los Santos,32,1.11,31.2,24,14,14,11,31,2,95,130,527,3.98,0,2,1,2,2,0,0,0,,,,
268,mia,27,146,663969,Tyler Phillips,27,1.3,38.1,40,17,17,10,22,6,115,159,567,3.99,0,2,0,1,0,0,0,0,,,,
269,phi,32,143,592836,Taijuan Walker,17,1.37,49.2,49,28,22,19,44,7,149,220,862,3.99,1,1,2,2,5,8,0,0,,,,
270,atl,34,144,606160,Rafael Montero,27,1.26,27.0,18,12,12,16,31,1,81,114,510,4.0,0,5,0,0,0,0,0,0,,,,
271,pit,29,134,656605,Mitch Keller,16,1.22,94.0,91,46,42,24,73,6,282,395,1486,4.02,0,0,0,1,10,16,0,0,CFL,CFL,10565,SP
272,fa,24,512,672456,Keider Montero,11,1.39,56.0,58,26,25,20,39,11,168,240,886,4.02,0,0,0,3,1,6,0,0,,,,
273,min,30,142,643377,Griffin Jax,36,1.23,33.1,33,16,15,8,56,4,100,141,553,4.05,0,16,4,1,4,0,0,0,WIZ,WIZ,12203,RP
274,cle,32,114,596001,Jakob Junis,30,1.44,33.1,39,16,15,9,24,3,100,144,534,4.05,0,3,0,1,1,0,0,0,,,,
275,cle,32,114,596001,Jakob Junis,30,1.44,33.1,39,16,15,9,24,3,100,144,534,4.05,0,3,0,1,1,0,0,0,,,,
