upid,yahoo_player_id,yahoo_player_key,name,first_name,last_name,mlb_team,mlb_team_full,position,eligible_positions,ownership_type,owned_by_team_key,percent_owned
1905,10236,469.p.10236,Gleyber Torres,Gleyber,Torres,DET,Detroit Tigers,2B,,team,469.l.8560.t.7,64
3069,10237,469.p.10237,Ozzie Albies,Ozzie,Albies,ATL,Atlanta Braves,2B,,team,469.l.8560.t.3,89
2735,10239,469.p.10239,Jorge Mateo,Jorge,Mateo,ATL,Atlanta Braves,"2B,SS,CF",,freeagents,,0
2262,10264,469.p.10264,Chris Devenski,Chris,Devenski,PIT,Pittsburgh Pirates,RP,,freeagents,,0
2375,10269,469.p.10269,Derek Law,Derek,Law,AZ,Arizona Diamondbacks,RP,,freeagents,,0
2229,10274,469.p.10274,Carlos Estévez,Carlos,Estévez,KC,Kansas City Royals,RP,,team,469.l.8560.t.7,91
2244,10293,469.p.10293,Chad Green,Chad,Green,TOR,Toronto Blue Jays,RP,,freeagents,,0
1896,10296,469.p.10296,Mike Clevinger,Mike,Clevinger,CWS,Chicago White Sox,RP,,freeagents,,0
2271,10311,469.p.10311,Chris Stratton,Chris,Stratton,LAD,Los Angeles Dodgers,RP,,freeagents,,0
2579,10318,469.p.10318,Jacob Stallings,Jacob,Stallings,BAL,Baltimore Orioles,C,,freeagents,,0
4311,10322,469.p.10322,Adam Frazier,Adam,Frazier,KC,Kansas City Royals,"2B,OF",,team,469.l.8560.t.12,0
6198,10325,469.p.10325,Brock Stewart,Brock,Stewart,LAD,Los Angeles Dodgers,RP,,freeagents,,0
3225,10326,469.p.10326,Seth Lugo,Seth,Lugo,KC,Kansas City Royals,SP,,team,469.l.8560.t.12,7
4053,10336,469.p.10336,José Leclerc,José,Leclerc,ATH, Athletics,RP,,freeagents,,0
2956,10355,469.p.10355,Matt Strahm,Matt,Strahm,KC,Kansas City Royals,RP,,team,469.l.8560.t.1,9
1980,10366,469.p.10366,Teoscar Hernández,Teoscar,Hernández,LAD,Los Angeles Dodgers,OF,,freeagents,,92
2185,10370,469.p.10370,Brent Suter,Brent,Suter,CIN,Cincinnati Reds,"SP,RP",,freeagents,,0
4113,10371,469.p.10371,Rob Zastryzny,Rob,Zastryzny,MIL,Milwaukee Brewers,RP,,freeagents,,0
3370,10391,469.p.10391,Wandy Peralta,Wandy,Peralta,SD,San Diego Padres,RP,,freeagents,,0
2235,10395,469.p.10395,Carson Kelly,Carson,Kelly,CHC,Chicago Cubs,C,,freeagents,,4
1951,10402,469.p.10402,Germán Márquez,Germán,Márquez,COL,Colorado Rockies,SP,,freeagents,,0
2975,10412,469.p.10412,Michael Kopech,Michael,Kopech,LAD,Los Angeles Dodgers,RP,,freeagents,,1
4146,10413,469.p.10413,Anthony Banda,Anthony,Banda,LAD,Los Angeles Dodgers,RP,,freeagents,,1
3268,10415,469.p.10415,Taylor Clarke,Taylor,Clarke,AZ,Arizona Diamondbacks,RP,,freeagents,,0
2158,10418,469.p.10418,Brad Keller,Brad,Keller,PHI,Philadelphia Phillies,RP,,team,469.l.8560.t.4,5
1927,10420,469.p.10420,Austin Riley,Austin,Riley,ATL,Atlanta Braves,3B,,team,469.l.8560.t.2,97
1966,10423,469.p.10423,Michael Soroka,Michael,Soroka,AZ,Arizona Diamondbacks,"SP,RP",,freeagents,,2
3639,10426,469.p.10426,Joey Wentz,Joey,Wentz,ATL,Atlanta Braves,"SP,RP",,freeagents,,0
3178,10429,469.p.10429,Ryan Mountcastle,Ryan,Mountcastle,BAL,Baltimore Orioles,1B,,freeagents,,2
2812,10431,469.p.10431,Keegan Akin,Keegan,Akin,BAL,Baltimore Orioles,"SP,RP",,freeagents,,1
3265,10432,469.p.10432,Tanner Scott,Tanner,Scott,LAD,Los Angeles Dodgers,RP,,freeagents,,6
1943,10438,469.p.10438,Dylan Cease,Dylan,Cease,TOR,Toronto Blue Jays,SP,,team,469.l.8560.t.8,97
1944,10439,469.p.10439,Eloy Jiménez,Eloy,Jiménez,TOR,Toronto Blue Jays,OF,,freeagents,,0
2550,10440,469.p.10440,Ian Happ,Ian,Happ,CHC,Chicago Cubs,OF,,team,469.l.8560.t.4,86
7493,10444,469.p.10444,Bryan Hudson,Bryan,Hudson,CWS,Chicago White Sox,RP,,freeagents,,0
1984,10455,469.p.10455,Tyler Mahle,Tyler,Mahle,SF,San Francisco Giants,SP,,freeagents,,4
3347,10456,469.p.10456,Tyler Stephenson,Tyler,Stephenson,CIN,Cincinnati Reds,C,,freeagents,,5
