Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2007,"Fernando Rodriguez Jr.","LAA","AA",23,125.1,0.29453682,0.965116279,0.197149643,0.394299287,0.408551068,0.197674418,0.081395348,0.50229358,0.24082569,0.25688073,0.16666667,204,630,834,"7558"
2008,"Fernando Rodriguez Jr.","LAA","AA",24,136.2,0.31777778,0.930107526,0.191441441,0.389639639,0.418918918,0.177419354,0.05376344,0.43668122,0.28165939,0.28165939,0.08735332,920,1381,2301,"7558"
2012,"Colt Hynes","SDP","AAA",27,126.2,0.38494624,1.651515151,0.239130434,0.473913043,0.286956521,0.136363636,0.083333333,0.43186583,0.2851153,0.28301887,0.07556936,661,1271,1932,"7560"
2007,"Brad Thomas","SEA","AAA",29,116.1,0.35326087,1.775700934,0.192934782,0.516304347,0.290760869,0.14953271,0.074766355,0.43085106,0.23670213,0.33244681,0.08662614,755,1219,1974,"757"
2010,"Jordan Lyles","HOU","AA",19,127,0.32712766,1.205882352,0.2,0.437333333,0.362666666,0.205882352,0.073529411,0.40673575,0.25129534,0.34196891,0.08552632,683,1293,1976,"7593"
2009,"Jordan Lyles","HOU","A",18,144.2,0.34217507,1.304,0.227882037,0.436997319,0.335120643,0.272,0.04,0.36292428,0.25587467,0.38120104,0.39643861,180,887,1067,"7593"
2009,"Tommy Milone","WSN","A+",22,151.1,0.2967033,1.042780748,0.154867256,0.431415929,0.413716814,0.187165775,0.048128342,0.48387097,0.24516129,0.27096774,0.25411523,176,796,972,"7608"
2010,"Tommy Milone","WSN","AA",23,158,0.32969432,1.125,0.179824561,0.434210526,0.385964912,0.232954545,0.056818181,0.46908316,0.24307036,0.28784648,0.32460243,118,951,1069,"7608"
2011,"Tommy Milone","WSN","AAA",24,148.1,0.31449631,1.012269938,0.2,0.402439024,0.397560975,0.226993865,0.055214723,0.47002398,0.25419664,0.27577938,0.12052731,685,1439,2124,"7608"
2009,"Carlos Torres","CHW","AAA",26,128,0.2754491,1.613861386,0.211940298,0.486567164,0.301492537,0.267326732,0.03960396,0.36470588,0.28235294,0.35294118,0.10092638,732,1319,2051,"7624"
2010,"Carlos Torres","CHW","AAA",27,160.1,0.25629291,1.362416107,0.187066974,0.46882217,0.344110854,0.2147651,0.087248322,0.43652561,0.24053452,0.32293987,0.09002826,939,1538,2477,"7624"
2009,"Chad Reineke","OAK","AAA",27,125,0.29846939,1,0.174129353,0.412935323,0.412935323,0.216867469,0.102409638,0.38083538,0.26535627,0.35380835,0.08207934,850,1343,2193,"7641"
2010,"Chad Reineke","CIN","AAA",28,131.1,0.2902439,0.883040935,0.229665071,0.361244019,0.409090909,0.152046783,0.099415204,0.44600939,0.25586854,0.29812207,0.06683168,748,1272,2020,"7641"
2011,"Chad Reineke","CIN","AAA",29,126.2,0.30588235,0.880681818,0.217494089,0.36643026,0.41607565,0.1875,0.073863636,0.39678899,0.28440367,0.31880734,0.06128405,740,1316,2056,"7641"
2012,"Chad Reineke","CIN","AAA",30,151.2,0.32443532,0.886699507,0.211934156,0.37037037,0.417695473,0.192118226,0.078817733,0.43737575,0.2445328,0.31809145,0.07221784,962,1572,2534,"7641"
2013,"Chad Reineke","CIN","AAA",31,130,0.29425837,1.048484848,0.213953488,0.402325581,0.38372093,0.181818181,0.115151515,0.39269406,0.28310502,0.32420091,0.08892128,758,1300,2058,"7641"
2016,"Chris Leroux","TOR","AAA",32,140.1,0.30630631,1.580882352,0.216517857,0.479910714,0.303571428,0.198529411,0.095588235,0.49563319,0.25764192,0.24672489,0.09291472,902,1455,2357,"7645"
2017,"Wilfredo Boscan","NYM","AAA",27,125.2,0.35874439,1.786885245,0.220183486,0.5,0.279816513,0.155737704,0.090163934,0.47797357,0.23568282,0.28634361,0.06660542,817,1360,2177,"7655"
2010,"Wilfredo Boscan","TEX","A+",20,163.2,0.33528265,1.377659574,0.125244618,0.506849315,0.367906066,0.159574468,0.090425531,0.45833333,0.21969697,0.3219697,0.2729682,191,941,1132,"7655"
2015,"Wilfredo Boscan","PIT","AAA",25,126,0.31280788,1.620689655,0.222506393,0.480818414,0.296675191,0.24137931,0.025862068,0.43243243,0.21867322,0.34889435,0.06542502,797,1297,2094,"7655"
2008,"Wilfredo Boscan","TEX","A-",18,69.1,0.31794872,1.532258064,0.160427807,0.50802139,0.331550802,0.209677419,0.064516129,0.41919192,0.25252525,0.32828283,0.3326226,55,414,469,"7655"
2011,"Wilfredo Boscan","TEX","A+",21,119,0.32439024,1.235668789,0.139705882,0.475490196,0.384803921,0.248407643,0.070063694,0.47630332,0.22511848,0.2985782,0.23048327,149,658,807,"7655"
2007,"Wilfredo Boscan","TEX","R",17,56.2,0.29078014,2.264705882,0.171641791,0.574626865,0.253731343,0.264705882,0.029411764,0.40559441,0.27972028,0.31468531,0.29545455,64,332,396,"7655"
2006,"Andy Sonnanstine","TBD","AA",23,185.2,0.26459144,,,,,,,,,,,,,,"7667"
2010,"Neil Ramirez","TEX","A",21,140.1,0.34782609,0.774566473,0.206718346,0.346253229,0.447028423,0.2716763,0.080924855,0.4408867,0.22906404,0.33004926,0.31018936,229,880,1109,"7677"
2016,"David Holmberg","CHW","AA",24,114.1,0.29166667,1.512820512,0.16713881,0.50141643,0.331444759,0.17094017,0.059829059,0.46594005,0.25613079,0.27792916,0.08252149,641,1104,1745,"7725"
2015,"David Holmberg","CIN","AAA",23,120.1,0.32160804,1.320895522,0.228287841,0.439205955,0.332506203,0.179104477,0.104477611,0.50366748,0.25672372,0.2396088,0.07230769,744,1206,1950,"7725"
2013,"David Holmberg","ARI","AA",21,157.1,0.27038627,1.106508875,0.222707423,0.408296943,0.368995633,0.183431952,0.071005917,0.44631579,0.24842105,0.30526316,0.11122554,652,1290,1942,"7725"
2010,"Juan Nicasio","COL","A+",23,177.1,0.32824427,1.191919191,0.176470588,0.447817836,0.375711574,0.227272727,0.07070707,0.41635688,0.23420074,0.34944238,0.29885993,156,1072,1228,"7731"
2009,"Juan Nicasio","COL","A",22,112,0.325,1.394736842,0.133333333,0.504761904,0.361904761,0.210526315,0.052631578,0.41104294,0.1809816,0.40797546,0.26860025,114,679,793,"7731"
2012,"Wily Peralta","MIL","AAA",23,146.2,0.35108959,2.103773584,0.214797136,0.53221957,0.252983293,0.198113207,0.08490566,0.45368171,0.2327791,0.31353919,0.09437019,994,1475,2469,"7738"
2011,"Wily Peralta","MIL","AA",22,119.2,0.30503145,1.675925925,0.099688473,0.563862928,0.336448598,0.194444444,0.083333333,0.48929664,0.2324159,0.27828746,0.1078534,736,1174,1910,"7738"
2009,"Bobby LaFromboise","SEA","A",23,138.1,0.32687651,0.77368421,0.174019607,0.360294117,0.465686274,0.263157894,0.057894736,0.38207547,0.26179245,0.35613208,0.29442692,154,797,951,"7758"
2010,"Bobby LaFromboise","SEA","A+",24,113.2,0.34166667,0.863905325,0.136986301,0.4,0.463013698,0.159763313,0.088757396,0.4,0.25333333,0.34666667,0.28857479,180,669,849,"7758"
2007,"Yoslan Herrera","PIT","AA",26,128.2,0.31531532,1.060109289,0.152808988,0.435955056,0.411235955,0.19125683,0.060109289,0.43708609,0.25386313,0.30905077,0.15576694,172,669,841,"7759"
2008,"Yoslan Herrera","PIT","AA",27,114.1,0.28688525,1.333333333,0.134615384,0.494505494,0.37087912,0.185185185,0.066666666,0.4197861,0.2486631,0.3315508,0.17297297,154,586,740,"7759"
2008,"Kei Igawa","NYY","AAA",28,156.1,0.27213823,0.74074074,0.187904967,0.345572354,0.466522678,0.217592592,0.069444444,0.45052632,0.23578947,0.31368421,0.091212,841,1560,2401,"7794"
2009,"Kei Igawa","NYY","AAA",29,145.1,0.31304348,0.786069651,0.234541577,0.336886993,0.428571428,0.208955223,0.104477611,0.4033264,0.27234927,0.32432432,0.09593777,773,1541,2314,"7794"
2009,"Richard Bleier","TEX","A+",22,143.2,0.32842105,2.239316239,0.184946236,0.56344086,0.251612903,0.145299145,0.076923076,0.42236025,0.25465839,0.32298137,0.30909091,114,821,935,"7803"
2008,"Richard Bleier","TEX","A-",21,62.2,0.28078818,3.27027027,0.168421052,0.636842105,0.194736842,0.162162162,0.108108108,0.42718447,0.24757282,0.32524272,0.24879227,74,340,414,"7803"
2010,"Richard Bleier","TEX","AA",23,164.1,0.31282953,2.398550724,0.166962699,0.587921847,0.245115452,0.130434782,0.094202898,0.46917808,0.24143836,0.28938356,0.07787066,729,1544,2273,"7803"
2008,"Hunter Strickland","BOS","A-",19,70.2,0.29383886,1.120481927,0.157894736,0.444976076,0.397129186,0.144578313,0.060240963,0.38425926,0.26851852,0.34722222,0.28752643,79,394,473,"7836"
2013,"Chris Schwinden","NYM","AAA",26,146.1,0.33066132,0.985148514,0.210629921,0.391732283,0.397637795,0.242574257,0.113861386,0.44827586,0.25670498,0.29501916,0.07133812,850,1519,2369,"7851"
2011,"Chris Schwinden","NYM","AAA",24,145.2,0.30317848,0.746031746,0.199029126,0.342233009,0.458737864,0.296296296,0.074074074,0.38534279,0.28132388,0.33333333,0.10065735,853,1581,2434,"7851"
2008,"Chris Schwinden","NYM","A-",21,62.2,0.3164557,1.174603174,0.127388535,0.471337579,0.401273885,0.253968253,0.047619047,0.44099379,0.26708075,0.29192547,0.36214953,55,373,428,"7851"
2009,"Chris Schwinden","NYM","A",22,115.1,0.33149171,1.02,0.151260504,0.428571428,0.420168067,0.2,0.04,0.43051771,0.25613079,0.3133515,0.28094576,81,638,719,"7851"
2017,"Andrew Albers","ATL","AAA",31,120.2,0.32664756,1.467889908,0.220289855,0.463768115,0.315942028,0.220183486,0.055045871,0.40168539,0.28089888,0.31741573,0.09055118,526,1252,1778,"7853"
2013,"Andrew Albers","MIN","AAA",27,132.1,0.29649596,1.013793103,0.191135734,0.407202216,0.401662049,0.227586206,0.096551724,0.4359673,0.27520436,0.28882834,0.07380074,609,1288,1897,"7853"
2016,"Andrew Albers","MIN","AAA",30,124.1,0.34567901,1.131034482,0.244498777,0.400977995,0.354523227,0.275862068,0.068965517,0.38405797,0.22222222,0.39371981,0.06929134,608,1297,1905,"7853"
2009,"Kyle Weiland","BOS","A+",22,132.2,0.29792746,1.85576923,0.210106382,0.513297872,0.276595744,0.221153846,0.038461538,0.47938144,0.21907216,0.30154639,0.25,268,740,1008,"7874"
2011,"Kyle Weiland","BOS","AAA",24,128.1,0.28994083,1.261904761,0.151785714,0.473214285,0.375,0.222222222,0.079365079,0.45086705,0.26011561,0.28901734,0.11034142,787,1234,2021,"7874"
2010,"Kyle Weiland","BOS","AA",23,128.1,0.28695652,1.176470588,0.156695156,0.455840455,0.387464387,0.169117647,0.095588235,0.45251397,0.26536313,0.28212291,0.27971311,245,731,976,"7874"
2008,"Kyle Weiland","BOS","A-",21,60,0.23178808,1.673469387,0.083916083,0.573426573,0.342657342,0.224489795,0.020408163,0.48344371,0.1986755,0.31788079,0.37621359,54,358,412,"7874"
2008,"Tomo Ohka","CHW","AAA",32,135.2,0.29782082,1.085365853,0.189573459,0.421800947,0.388625592,0.18902439,0.140243902,0.41935484,0.23732719,0.34331797,0.09391222,727,1392,2119,"788"
2021,"Josh Lindblom","MIL","AAA",34,104.2,0.3183391,0.793103448,0.287671232,0.315068493,0.397260273,0.181034482,0.086206896,0.42474916,0.23076923,0.34448161,0.11920904,570,1200,1770,"7882"
2022,"Josh Lindblom","MIL","AAA",35,133.1,0.27478754,0.719298245,0.213903743,0.328877005,0.457219251,0.257309941,0.134502923,0.42553191,0.27925532,0.29521277,0.11100875,758,1413,2171,"7882"
2011,"Andrew Taylor","LAA","AA",24,112,0.30853994,1.041958041,0.184357541,0.416201117,0.39944134,0.223776223,0.09090909,0.4535809,0.24933687,0.29708223,0.08611691,803,1113,1916,"7896"
2008,"Duke Welker","PIT","A",22,116,0.34615385,2.860759493,0.213917525,0.582474226,0.203608247,0.227848101,0.088607594,0.42065491,0.22670025,0.35264484,0.17497231,249,654,903,"792"
