player_id,name,team,position,Games Played,Games Played,Games Started,Batting Average,On-base Percentage,Slugging Percentage,At Bats,Runs,Hits,Singles,Doubles,Triples,Home Runs,Runs Batted In,Sacrifice Hits,Sacrifice Flys,Stolen Bases,Caught Stealing,Walks,Intentional Walks,Hit By Pitch,Strikeouts,Ground Into Double Play,Total Bases,Pitching Appearances,Games Started (Pitching),Earned Run Average,(Walks + Hits)/ Innings Pitched,Wins,Losses,Complete Games,Shutouts,Saves,Outs,Hits Allowed,Total Batters Faced,Runs Allowed,Earned Runs,Home Runs Allowed,Walks Issued,Intentional Walks Issued,Hit Batters,Strikeouts (Pitching),Wild Pitches,Balks,Stolen Bases Allowed,Batters Grounded Into Double Plays,Save Chances,Holds,Total Bases Allowed,Innings Pitched,Putouts,Assists,Errors,Fielding Percentage,On-base + Slugging Percentage,Strikeouts per Walk Ratio,Strikeouts per Nine Innings,Team,League,Hits / At Bats,Extra Base Hits,Net Stolen Bases,Stolen Base Percentage,Hitting for the Cycle,Plate Appearances,Grand Slam Home Runs,Pitch Count,Doubles Allowed,Triples Allowed,Relief Wins,Relief Losses,Pickoffs,Relief Appearances,On-base Percentage Against,Winning Percentage,Singles Allowed,Hits Per Nine Innings,Walks Per Nine Innings,No Hitters,Perfect Games,Save Percentage,Inherited Runners Scored,Quality Starts,Blown Saves,Net Saves,Outfield Assists,Double Plays Turned,Catcher Interference,Saves + Holds,Net Saves and Holds,Net Wins
9186,Yan Gomes,Chicago Cubs,C,34,34,27,.154,.179,.242,91,7,14,10,2,0,2,7,1,1,0,0,2,0,1,36,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,6,0,1.000,.421,,,-,-,,4,0,-,0,96,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
12001,Kyle McCann,Athletics,C,54,54,41,.236,.318,.371,140,13,33,24,4,0,5,15,0,0,0,0,16,1,1,59,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,12,4,.987,.689,,,-,-,,9,0,-,0,157,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
9971,Austin Barnes,Los Angeles Dodgers,C,54,54,42,.264,.331,.307,140,12,37,33,3,0,1,11,2,0,3,0,14,0,0,36,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,10,5,.987,.638,,,-,-,,4,3,1.000,0,156,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
12767,Blake Sabol,Boston Red Sox,C,11,11,9,.313,.421,.375,32,3,10,8,2,0,0,1,0,0,0,0,5,1,1,9,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1,3,.957,.796,,,-,-,,2,0,-,0,38,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
10669,Luis Torrens,New York Mets,C,47,47,35,.229,.292,.373,118,14,27,16,8,0,3,15,0,1,0,1,9,0,2,28,5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,20,1,.997,.665,,,-,-,,11,-1,.000,0,130,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
10478,Garrett Stubbs,Philadelphia Phillies,C,54,54,47,.207,.296,.262,164,18,34,28,4,1,1,11,0,1,5,0,17,0,4,50,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,16,2,.995,.558,,,-,-,,6,5,1.000,0,187,0,,,,,,,,,,,,,,,,,,,,0,2,1,,,
11997,Riley Adams,Washington Nationals,C,41,41,36,.224,.292,.336,116,10,26,18,5,1,2,8,0,2,1,0,10,1,2,35,4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,10,5,.983,.628,,,-,-,,8,1,1.000,0,130,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
11813,Rafael Marchán,Philadelphia Phillies,C,17,17,14,.294,.345,.549,51,8,15,8,4,0,3,6,1,0,0,0,3,0,1,8,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,6,2,.985,.894,,,-,-,,7,0,-,0,56,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
12292,Jose Herrera,Arizona Diamondbacks,C,42,42,31,.227,.290,.320,97,11,22,16,4,1,1,13,7,1,0,0,9,0,0,27,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,8,1,.997,.610,,,-,-,,6,0,-,0,114,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
12058,René Pinto,Arizona Diamondbacks,C,19,19,15,.214,.292,.429,42,5,9,4,3,0,2,6,1,1,0,0,4,0,1,18,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,2,1,.992,.721,,,-,-,,5,0,-,0,49,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
11392,Andrew Knizner,Washington Nationals,C,35,35,29,.167,.183,.211,90,5,15,13,1,0,1,9,0,1,0,0,1,0,1,22,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,5,2,.992,.394,,,-,-,,2,0,-,0,93,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
12587,Drew Millas,Washington Nationals,C,20,20,17,.246,.306,.316,57,7,14,12,1,0,1,1,0,0,4,0,5,0,0,16,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,8,1,.993,.622,,,-,-,,2,4,1.000,0,62,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
10829,Tomás Nido,Detroit Tigers,C,49,49,40,.192,.219,.315,130,14,25,17,4,0,4,12,3,2,0,0,5,0,0,35,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,15,6,.984,.534,,,-,-,,8,0,-,0,140,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
10068,Luke Maile,Cincinnati Reds,C,53,53,45,.178,.268,.252,135,8,24,18,4,0,2,8,1,1,2,0,13,0,4,52,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,18,1,.998,.520,,,-,-,,6,2,1.000,0,154,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
61796,César Salazar,Houston Astros,C,12,12,7,.320,.387,.400,25,5,8,6,2,0,0,8,1,2,0,0,2,0,2,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,4,2,.978,.787,,,-,-,,2,0,-,0,32,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
12637,Jason Delay,Pittsburgh Pirates,C,7,7,5,.200,.333,.400,15,1,3,0,3,0,0,6,1,0,0,0,3,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2,0,1.000,.733,,,-,-,,3,0,-,0,19,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
9570,Tom Murphy,San Francisco Giants,C,13,13,10,.118,.211,.235,34,3,4,2,1,0,1,2,0,0,0,0,4,0,0,14,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1,0,1.000,.446,,,-,-,,2,0,-,0,38,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
11033,Austin Wynns,Cincinnati Reds,C,7,7,6,.368,.400,.579,19,3,7,3,4,0,0,2,0,0,0,0,0,0,1,5,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,0,1.000,.979,,,-,-,,4,0,-,0,20,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
9336,Austin Hedges,Cleveland Guardians,C,66,66,46,.152,.203,.220,132,12,20,15,3,0,2,15,3,2,2,0,6,0,3,50,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,15,3,.993,.423,,,-,-,,5,2,1.000,0,146,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
